Business and Finance,Corporate Mergers and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Orion Tech Corporation,3,Summit Financial Group,investment_partnership
0,Orion Tech Corporation,2,NovaGen Biotech,supply_contract
0,Orion Tech Corporation,1,Evergreen Logistics Ltd.,strategic_alliance
0,Orion Tech Corporation,4,Bluewave Energy Inc.,merger_link
1,Evergreen Logistics Ltd.,3,Summit Financial Group,financial_transaction
1,Evergreen Logistics Ltd.,2,NovaGen Biotech,merger_link
1,Evergreen Logistics Ltd.,4,Bluewave Energy Inc.,merger_link
2,NovaGen Biotech,4,Bluewave Energy Inc.,strategic_alliance
2,NovaGen Biotech,3,Summit Financial Group,financial_transaction
3,Summit Financial Group,4,Bluewave Energy Inc.,strategic_alliance
