Science and Engineering,Collaborative Links Between Research Labs and Universities
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Global Policy Institute,5,Ocean Studies Institute,patent_sharing
0,Global Policy Institute,2,Climate Research Center,research_funding
0,Global Policy Institute,8,Neuroscience Research Group,co_authorship
0,Global Policy Institute,3,Biomedical Research Institute,tech_transfer
0,Global Policy Institute,1,Institute of Robotics and AI,joint_lab
1,Institute of Robotics and AI,3,Biomedical Research Institute,tech_transfer
1,Institute of Robotics and AI,5,Ocean Studies Institute,co_authorship
1,Institute of Robotics and AI,7,Advanced Mathematics Institute,research_funding
1,Institute of Robotics and AI,2,Climate Research Center,research_funding
1,Institute of Robotics and AI,9,Cultural Heritage Institute,joint_lab
2,Climate Research Center,8,Neuroscience Research Group,research_funding
2,Climate Research Center,7,Advanced Mathematics Institute,research_funding
2,Climate Research Center,9,Cultural Heritage Institute,patent_sharing
2,Climate Research Center,6,Center for Data Ethics,co_authorship
2,Climate Research Center,4,Energy Innovation Lab,co_authorship
