Agriculture and Food Production,Agricultural Company Trade Relationships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Sunnydale Organic Farm,2,Green Acre Orchards,market_linkage
0,Sunnydale Organic Farm,6,Sunrise Dairy Farm,farmers_cooperative
0,Sunnydale Organic Farm,1,Willow Valley Ranch,market_linkage
0,Sunnydale Organic Farm,3,Golden Fields Farm,agro_supply_chain
0,Sunnydale Organic Farm,5,Whispering Pines Farmstead,crop_rotation
1,Willow Valley Ranch,7,Silver Creek Vineyard,market_linkage
1,Willow Valley Ranch,4,Blueberry Hill Estate,market_linkage
1,Willow Valley Ranch,6,Sunrise Dairy Farm,crop_rotation
1,Willow Valley Ranch,5,Whispering Pines Farmstead,processing_link
1,Willow Valley Ranch,3,Golden Fields Farm,crop_rotation
2,Green Acre Orchards,1,Willow Valley Ranch,crop_rotation
2,Green Acre Orchards,6,Sunrise Dairy Farm,farmers_cooperative
2,Green Acre Orchards,7,Silver Creek Vineyard,agro_supply_chain
2,Green Acre Orchards,3,Golden Fields Farm,farmers_cooperative
2,Green Acre Orchards,5,Whispering Pines Farmstead,agro_supply_chain
