Cultural Trends and Influences,Global Cultural Institutions and Their Interactions
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Global Culture Pavilion,3,Modern Music Studio,gallery_network
0,Global Culture Pavilion,2,Folklore Exhibition Hall,exhibition_link
0,Global Culture Pavilion,4,Urban Theater House,gallery_network
0,Global Culture Pavilion,1,Heritage Art Museum,festival_participation
1,Heritage Art Museum,2,Folklore Exhibition Hall,cross_cultural_event
1,Heritage Art Museum,3,Modern Music Studio,festival_participation
1,Heritage Art Museum,4,Urban Theater House,cross_cultural_event
2,Folklore Exhibition Hall,3,Modern Music Studio,exhibition_link
2,Folklore Exhibition Hall,4,Urban Theater House,artist_collaboration
3,Modern Music Studio,4,Urban Theater House,gallery_network
