Retail and E-commerce,E-Commerce Platform Interactions and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,UrbanMart Superstore,7,DailyStyle Apparel,payment_channel
0,UrbanMart Superstore,2,TechHive Electronics,supplier_buyer
0,UrbanMart Superstore,1,FashionLane Boutique,payment_channel
0,UrbanMart Superstore,6,NextStep Shoe Center,product_bundle
0,UrbanMart Superstore,5,Sparkle Jewelry,affiliate_link
1,FashionLane Boutique,3,GreenBasket Grocery,affiliate_link
1,FashionLane Boutique,2,TechHive Electronics,logistics_flow
1,FashionLane Boutique,7,DailyStyle Apparel,product_bundle
1,FashionLane Boutique,9,OfficeDen Supplies,affiliate_link
1,FashionLane Boutique,4,FurnitureCo Home Store,product_bundle
2,TechHive Electronics,3,GreenBasket Grocery,affiliate_link
2,TechHive Electronics,9,OfficeDen Supplies,supplier_buyer
2,TechHive Electronics,8,SmartBuy Hypermart,supplier_buyer
2,TechHive Electronics,6,NextStep Shoe Center,payment_channel
2,TechHive Electronics,7,DailyStyle Apparel,logistics_flow
