Education and Academics,Global Academic Institutions Partnership Map
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Greenwood High School,9,Meadowlark Middle School,funding_support
0,Greenwood High School,5,Silverstream Science School,student_exchange
0,Greenwood High School,10,Harborview STEM School,joint_program
0,Greenwood High School,4,Hillcrest Technical School,research_collaboration
0,Greenwood High School,2,Oakridge International Academy,academic_advising
1,Starlight Elementary School,3,Riverside Public School,joint_program
1,Starlight Elementary School,0,Greenwood High School,research_collaboration
1,Starlight Elementary School,7,Sunrise Montessori School,student_exchange
1,Starlight Elementary School,10,Harborview STEM School,student_exchange
1,Starlight Elementary School,6,Beacon Arts Academy,research_collaboration
2,Oakridge International Academy,5,Silverstream Science School,research_collaboration
2,Oakridge International Academy,6,Beacon Arts Academy,academic_advising
2,Oakridge International Academy,7,Sunrise Montessori School,student_exchange
2,Oakridge International Academy,1,Starlight Elementary School,joint_program
2,Oakridge International Academy,10,Harborview STEM School,joint_program
8,Westfield Engineering School,7,Sunrise Montessori School,research_collaboration
11,Trinity Language School,3,Riverside Public School,research_collaboration
