Food and Beverage Industry,Culinary Supplier Relations Across Key Distributors
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,The Golden Fork,3,Crimson Table,menu_cross_listing
0,The Golden Fork,2,Sunset Bistro,brand_franchise
0,The Golden Fork,1,Olive & Thyme,menu_cross_listing
0,The Golden Fork,4,Bluefin Sushi Bar,brand_franchise
1,Olive & Thyme,3,Crimson Table,logistics_distribution
1,Olive & Thyme,2,Sunset Bistro,ingredient_supply
1,Olive & Thyme,4,Bluefin Sushi Bar,retail_partner
2,Sunset Bistro,4,Bluefin Sushi Bar,ingredient_supply
2,Sunset Bistro,3,Crimson Table,brand_franchise
3,Crimson Table,4,Bluefin Sushi Bar,ingredient_supply
