Transportation and Logistics,Company-wise Transport Routes and Flow
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Chicago Logistics Hub,2,Shanghai Freight Station,intercity_bus_route
0,Chicago Logistics Hub,4,Singapore Distribution Node,shipping_lane
0,Chicago Logistics Hub,1,Rotterdam Port,intercity_bus_route
0,Chicago Logistics Hub,3,Dubai Transport Center,logistics_alliance
1,Rotterdam Port,2,Shanghai Freight Station,intercity_bus_route
1,Rotterdam Port,3,Dubai Transport Center,intercity_bus_route
1,Rotterdam Port,4,Singapore Distribution Node,intercity_bus_route
2,Shanghai Freight Station,4,Singapore Distribution Node,intercity_bus_route
2,Shanghai Freight Station,3,Dubai Transport Center,logistics_alliance
3,Dubai Transport Center,4,Singapore Distribution Node,air_route
