Real Estate and Housing Market,Interconnected Housing Projects by Region
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Willow Creek Estate,7,Maplewood Park Homes,broker_affiliation
0,Willow Creek Estate,2,Riverstone Residences,lease_chain
0,Willow Creek Estate,4,Pinehill Townhomes,rental_agreement
0,Willow Creek Estate,5,Harborview Condominiums,property_exchange
0,Willow Creek Estate,6,Golden Terrace Apartments,broker_affiliation
1,Sunset Villas Complex,11,Oceanfront Horizon Estate,property_exchange
1,Sunset Villas Complex,9,Lakeside Heights,real_estate_agency_link
1,Sunset Villas Complex,8,Crystal Bay Residence,rental_agreement
1,Sunset Villas Complex,3,Emerald Tower,rental_agreement
1,Sunset Villas Complex,2,Riverstone Residences,property_exchange
2,Riverstone Residences,6,Golden Terrace Apartments,property_exchange
2,Riverstone Residences,5,Harborview Condominiums,broker_affiliation
2,Riverstone Residences,4,Pinehill Townhomes,lease_chain
2,Riverstone Residences,11,Oceanfront Horizon Estate,property_exchange
2,Riverstone Residences,3,Emerald Tower,rental_agreement
10,Hilltop Luxury Condos,7,Maplewood Park Homes,lease_chain
