Tourism and Hospitality,Regional Tourist Flow Connections
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Paris Historical Spot,3,Rome Ancient Ruins,shared_transport
0,Paris Historical Spot,8,Cairo Pyramid Zone,tour_route
0,Paris Historical Spot,5,Bali Beach Resort,tourism_package_link
0,Paris Historical Spot,9,Venice Canal District,tourism_package_link
0,Paris Historical Spot,4,Santorini Scenic Viewpoint,sightseeing_bus_connection
1,Kyoto Temple Area,6,Beijing Forbidden Site,hotel_chain_membership
1,Kyoto Temple Area,3,Rome Ancient Ruins,tourism_package_link
1,Kyoto Temple Area,2,New York City Landmark,tour_route
1,Kyoto Temple Area,0,Paris Historical Spot,shared_transport
1,Kyoto Temple Area,8,Cairo Pyramid Zone,tour_route
2,New York City Landmark,7,London Royal Garden,shared_transport
2,New York City Landmark,8,Cairo Pyramid Zone,tour_route
2,New York City Landmark,0,Paris Historical Spot,tourism_package_link
2,New York City Landmark,9,Venice Canal District,sightseeing_bus_connection
2,New York City Landmark,3,Rome Ancient Ruins,hotel_chain_membership
