Social Media and Digital Media and Streaming,Cross-Platform Media Collaboration Map
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Anderson Premium Account,7,UrbanTrend Member Account,collab_post
0,Anderson Premium Account,1,Sunrise Savings Account,content_stream
0,Anderson Premium Account,3,Evergreen Business Account,media_affiliation
0,Anderson Premium Account,2,Quantum Trading Profile,tag_mention
0,Anderson Premium Account,4,Falcon Investment Profile,content_stream
1,Sunrise Savings Account,9,Harmony Subscription Profile,content_stream
1,Sunrise Savings Account,6,BlueOcean Finance Account,tag_mention
1,Sunrise Savings Account,2,Quantum Trading Profile,tag_mention
1,Sunrise Savings Account,3,Evergreen Business Account,media_affiliation
1,Sunrise Savings Account,4,Falcon Investment Profile,collab_post
2,Quantum Trading Profile,8,Velocity Pro Account,tag_mention
2,Quantum Trading Profile,5,Crystal Loyalty Account,collab_post
2,Quantum Trading Profile,6,BlueOcean Finance Account,media_affiliation
2,Quantum Trading Profile,3,Evergreen Business Account,tag_mention
2,Quantum Trading Profile,9,Harmony Subscription Profile,content_stream
