Energy and Utilities,Data on daily energy consumption accross cities,MWh,skewed,vertical
Oakridge,Yorkton
2440,3158
4416,2144
2693,2288
3822,3235
2568,2852
2829,2853
2450,2321
2279,2331
1868,3315
3173,2124
3348,2143
1830,2035
2612,2418
2452,2629
4258,2251
2385,2902
3255,2471
2371,2343
1906,2571
2379,3023
2330,2100
3997,2873
2821,2110
2240,2387
2543,2078
2869,2579
1984,2123
2650,2298
2208,2094
3014,2502
4140,2659
3303,2634
2370,2406
2786,2893
3464,2229
4005,2154
1961,2024
2155,2329
2176,2234
5150,2968
2874,2358
3493,2793
3007,2053
2626,2564
3540,2513
3171,2585
3226,3136
2725,2553
2727,2261
3050,2084
2667,2235
2160,2158
3969,2829
3350,2484
3562,2570
3046,2537
2490,2586
1913,1972
2711,2365
2029,3003
2885,2761
4530,2710
2927,3369
2514,2592
2880,2508
2396,2380
3769,2614
2314,2068
4037,2220
2972,2565
2214,2491
1976,2151
2690,2840
3613,3196
2917,2467
2562,2236
2900,2552
3183,3431
5051,3152
4568,2539
2028,2825
4019,2572
2485,2510
2404,2149
2315,2660
2008,2152
2111,3133
2409,2572
2162,2375
3002,2484
2707,2775
2455,2640
1963,2140
2639,2566
2751,2620
2213,2283
3766,2688
2911,3020
2306,2706
2675,2490
3089,3621
2494,2398
4280,2202
2669,2276
3507,2317
4634,2091
2586,2373
3853,2236
2093,2952
3366,2292
2644,2681
2290,2233
4229,2451
2343,2136
3868,3337
4773,2121
3129,3157
3221,3695
