Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed,vertical
Cotton,Rye,Tea
10092,5091,12510
3998,9767,7113
8040,7787,6540
5640,8080,6419
8262,3667,4332
4785,6289,8903
5210,2287,7540
3055,3742,7582
6209,4574,11851
5312,3879,7302
4544,7217,8707
3649,4000,11164
5913,4283,12881
8911,5641,4432
5024,5535,7737
7702,6976,8441
8499,8415,3172
7221,3209,5846
5094,2861,7600
7827,5027,6677
4998,6132,2509
2861,7668,9559
4132,3796,4083
4224,5945,6965
7083,4424,7158
4566,6358,7009
9340,11295,4775
9492,3492,11587
11275,7238,3481
7190,6578,5317
4766,3920,9387
5419,3730,9772
7077,3533,13218
3275,5799,3367
3986,5292,7675
3754,4194,10838
8762,8029,7227
3808,2182,5109
5968,4522,6139
7286,4054,8723
3849,8254,8693
6361,7283,3394
6039,5040,10790
6461,6152,4193
2855,4730,11591
6023,5211,7202
7136,4757,3543
3526,5538,14361
7659,6020,4074
5017,10406,5002
4733,3152,9712
5630,2019,7574
7019,4063,7533
4951,3133,5354
6981,6410,5663
3399,5993,4548
7909,3296,14281
10346,4493,3442
6334,3083,9557
9184,3543,5053
4669,7967,5493
9355,8889,7944
5533,4954,6511
4162,2394,10994
4064,8889,7009
5881,8741,11302
7798,4416,5450
7023,6624,10327
5225,7672,5349
4074,12030,4626
5144,4579,6332
8172,10484,7178
3117,4018,10687
3105,4227,10919
10073,3720,6095
3078,6108,6329
4900,4160,9232
8104,8474,7194
3351,5344,7974
8449,4549,3832
7922,11483,3372
3290,5242,5250
9751,4733,3834
4996,5683,6844
6558,4082,5896
4788,3892,7452
3571,4610,8576
7429,7303,13106
4904,3634,4486
3020,6033,11984
5492,3300,5876
7083,5483,11121
4701,4941,4735
11693,7332,5075
3701,4012,7630
2513,4352,6544
10840,3396,10700
2546,8904,3845
6180,4115,6847
5499,8476,10371
5691,9608,8505
4775,3356,10294
6952,2708,9186
6687,5907,9017
4891,7454,8304
5679,3097,14380
3453,4260,6614
6401,4615,5955
7253,9190,10732
5400,3745,3318
3354,2933,5285
9298,2967,4666
3960,11837,10801
4779,4120,9120
2908,2955,12226
3611,4119,8019
5129,2931,9405
2568,2459,7229
