Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Food Trucks,Pizza Restaurants,Italian Restaurants,Asian Cuisine,Ice Cream Parlors,Cafeterias
353,508,759,923,164,248
175,704,348,1090,926,170
843,924,792,308,494,536
1044,315,672,1011,790,414
346,452,708,368,632,432
1122,720,579,762,1301,411
252,1022,617,1222,817,355
361,337,1701,368,725,358
474,1353,843,359,484,261
472,465,328,311,785,199
217,601,373,661,186,483
1292,398,663,669,197,512
552,987,577,360,1640,497
1157,878,185,687,215,516
320,602,1057,672,745,213
350,446,236,774,669,473
1182,522,1212,947,317,241
802,368,279,720,481,617
503,304,1095,686,211,135
967,852,554,671,581,398
524,349,256,341,240,390
410,756,502,601,995,256
339,207,351,1043,1279,285
211,397,899,836,545,714
822,281,747,375,434,489
1130,728,613,363,374,346
1138,697,1067,676,880,214
919,666,156,1148,1651,292
702,730,508,691,654,399
613,509,612,357,411,530
618,421,1428,911,579,484
552,524,1331,384,1146,495
476,309,618,191,295,346
452,989,1082,277,411,423
647,1034,523,412,720,186
522,766,180,589,1121,582
736,340,273,369,302,171
513,727,793,395,688,365
663,412,365,689,551,587
193,572,825,671,787,284
647,793,1073,413,1025,295
826,677,1116,698,1151,319
669,466,301,724,516,557
1007,527,908,302,392,375
1323,1042,460,1160,1452,581
749,217,1326,445,429,183
204,732,793,926,440,326
498,460,491,124,731,323
904,769,156,510,663,217
648,1254,691,482,1101,365
209,234,729,958,781,215
846,184,650,588,749,433
530,888,946,402,341,270
206,715,874,957,502,119
435,350,906,1143,325,283
941,1218,442,616,917,238
301,611,913,599,641,373
689,263,488,286,1169,506
316,1437,481,616,527,383
368,644,491,225,552,230
306,474,584,539,569,357
682,483,612,810,1032,676
433,1088,781,220,324,331
456,1368,911,518,521,468
289,1420,362,955,608,440
556,1010,286,723,752,343
409,428,454,484,573,450
483,498,565,795,1128,284
845,404,840,528,627,242
1084,705,939,573,188,640
881,1184,901,339,191,674
216,357,407,543,816,155
1100,589,266,578,1623,598
185,518,1391,1407,417,391
921,536,457,432,586,434
246,809,863,342,619,144
643,524,549,1296,370,260
668,267,516,1385,882,417
549,305,540,962,342,131
772,240,514,703,428,435
1004,621,542,417,1086,349
1065,363,814,269,854,499
385,525,550,397,714,598
958,317,636,713,629,252
504,291,306,419,189,347
494,822,588,1164,535,149
352,785,350,786,498,420
534,682,1339,998,334,357
1183,823,549,375,383,264
342,923,1011,750,656,413
1065,557,1381,624,440,425
561,451,405,429,499,340
447,820,894,226,405,303
538,423,207,610,916,423
570,1521,354,728,196,698
631,287,522,425,396,697
1035,492,1070,1002,245,450
581,1032,1818,659,346,478
985,326,490,591,1090,199
917,868,549,239,1602,172
233,567,362,1000,418,647
425,485,649,1392,180,121
309,425,478,1658,356,345
543,839,184,275,444,379
707,330,237,164,1019,523
618,580,1012,622,244,302
594,408,1060,1384,284,429
883,228,988,740,433,315
368,597,584,601,534,460
769,369,403,1703,570,152
863,226,1076,280,644,188
313,332,477,447,576,714
316,617,567,552,565,622
641,195,979,401,321,254
918,658,470,696,458,718
533,412,542,674,434,220
407,388,868,886,698,297
554,541,476,614,1223,431
