Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed,vertical
Barley,Rye
4948,3008
4895,4688
7801,6338
5248,4224
3711,4770
2931,7625
8078,10178
3618,9442
4166,5087
5602,3998
6272,4141
8762,3140
8003,2424
10213,2391
5528,10221
3675,2931
3963,6227
4325,9546
3999,3166
3230,4959
5309,5184
3418,1693
3460,10579
6236,3542
4878,1837
5522,6679
2292,5271
2777,3159
5630,4091
2278,2613
6046,6753
2655,1633
9246,2958
3745,5736
5519,3816
5120,2194
6048,6203
3223,3812
5954,3989
3584,3041
2725,7353
5972,4038
3361,3375
2999,3322
2891,3936
9004,2073
4931,5444
5302,4671
2315,6210
3105,6409
8170,8228
2087,2029
3377,2569
5281,4685
6537,2990
2949,5433
5653,2844
10104,4396
7191,2224
5069,6993
5826,2668
5380,4668
4023,6096
3388,7085
4550,1763
3637,4631
7570,4440
5925,2873
3650,4211
11032,5321
5336,6628
3462,3941
3665,5216
5824,5161
9587,2282
5863,5295
7114,5356
7544,4561
3823,5879
4235,2261
4264,5427
3592,4348
5739,7203
4849,3223
6531,3895
3860,3432
4156,8311
4929,5527
8509,5117
2391,6012
3101,4971
5129,5051
6195,2114
4945,3277
4358,9220
5510,4352
3601,6769
3135,2995
2589,5898
8482,5427
5294,3702
4067,3464
3747,5939
4102,1785
7428,3558
3283,4985
2853,4360
6762,3499
6167,4125
4540,2864
5401,5990
3614,3287
5969,4338
6028,7844
3692,4431
3606,3303
5242,4082
4500,3495
