Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,horizontal
Dark Horizon,Iron Heart,Nightfall
817,231,617
333,371,616
703,345,288
300,574,727
778,486,372
664,569,176
314,251,243
295,341,499
949,552,166
293,171,783
390,173,641
117,499,224
1133,855,535
854,494,175
710,243,793
710,262,270
1080,234,473
413,269,283
912,591,468
334,343,582
264,401,147
555,476,208
807,320,353
361,287,767
529,176,1412
589,365,679
1003,810,502
683,324,365
734,736,747
475,514,611
616,487,696
688,155,625
403,539,760
513,852,405
435,564,211
348,442,428
610,262,493
520,444,1048
715,664,426
238,415,724
418,724,519
175,926,159
244,1151,545
904,774,490
1384,389,514
271,723,488
547,565,436
1011,564,243
420,448,857
566,365,820
431,368,1345
707,586,1207
563,386,464
278,219,313
583,235,257
420,230,308
1122,239,464
799,887,539
957,492,481
841,480,380
456,469,721
1259,588,298
1153,563,302
816,507,637
284,421,1289
547,474,536
375,290,391
384,371,287
1166,289,969
556,258,780
662,385,436
720,481,877
637,890,527
891,679,496
731,517,433
401,362,416
895,393,382
804,439,926
271,207,529
630,927,558
348,259,873
759,439,372
748,209,353
368,324,426
369,456,658
668,229,333
924,606,545
133,398,245
1116,295,468
780,557,455
602,618,194
640,633,706
440,628,393
252,451,241
717,587,620
232,467,510
316,694,657
303,619,270
241,331,292
362,441,784
138,813,730
853,360,412
546,778,209
692,828,764
357,826,1217
524,525,507
296,324,502
643,443,1000
716,127,325
672,348,760
1025,467,171
235,427,656
279,153,219
707,763,487
434,501,330
644,274,254
442,420,204
848,752,847
