Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,vertical
Yorkton,Zephyr,Springfield,Ironwood,Rosewood
1512,1009,1415,1106,981
940,1257,1017,805,951
1159,1009,1059,1381,1016
879,1193,806,943,1386
890,1064,1027,1341,1447
1008,1414,1196,982,1043
1136,876,1402,875,1307
1156,1095,1074,921,974
795,971,1053,978,1420
926,982,796,1137,1719
1388,987,1120,844,1106
876,1203,1405,1079,1257
1182,900,1019,928,1007
1297,969,1178,1087,1447
1061,1544,1000,853,1506
841,1010,1691,1307,1549
1064,951,1413,1458,1509
1079,1466,1906,1394,1695
1204,1079,1198,1152,1043
1480,1271,923,770,1344
1043,1296,1510,971,1149
2015,1361,1283,1082,1999
918,1018,932,1199,1064
872,1174,1185,883,1687
1267,1005,1383,1190,1667
1017,1517,935,872,1272
998,1197,909,812,1489
1491,993,889,1044,933
1582,1217,955,884,1211
1087,1404,1099,1685,1336
891,1265,1381,836,1298
1132,921,832,923,1041
1127,934,1272,883,1197
1391,1353,1019,1032,1061
1910,868,810,892,1356
924,1026,1137,1230,1233
1430,988,1215,1410,1047
800,1086,809,856,1486
807,895,1717,1255,1076
967,1067,1186,1235,1340
882,963,814,1394,1474
917,1175,1293,926,1102
1102,1370,1251,921,1010
1052,1755,1259,904,1437
1419,1035,1274,868,1126
921,1042,1049,850,1026
788,1224,796,1003,1540
1161,1282,1056,909,1115
1189,958,1063,1228,1367
1086,1420,805,1536,1201
1345,1344,869,824,1041
1334,1430,1041,874,1029
1890,883,918,899,1128
815,1429,1037,813,1339
1477,965,1131,1715,1725
873,987,1116,1003,1047
1050,977,893,909,1392
1207,1279,1213,881,1075
1297,1323,1045,863,1543
1585,1027,1414,1013,986
1490,1505,757,1258,1529
919,1590,1069,957,1070
1007,1197,726,1095,904
1304,926,1251,1577,1103
927,1152,960,1025,1370
928,984,1423,1147,986
781,1148,936,1092,1360
1288,1478,1271,985,1028
1022,1343,1592,1462,1070
1295,915,1010,1085,1292
1204,881,1141,1010,985
781,1058,1532,1755,1579
943,1389,864,960,1762
1236,866,986,1321,1031
1340,1325,1237,845,1090
998,890,907,1103,1362
1181,1231,1137,832,1137
899,1249,1542,1451,1071
1139,947,957,1921,1304
1165,862,1121,919,1157
766,1331,1759,1166,1236
937,925,779,1153,2023
1152,1408,983,1479,1391
840,912,974,1908,1109
1128,975,1532,1087,1493
1148,1177,946,1510,1018
1768,1390,814,881,1446
965,1074,762,774,1131
1182,959,799,1014,1161
1611,1036,1032,1280,1087
1116,985,1466,1074,1665
900,943,1397,1232,1446
1112,980,777,1335,1201
1623,1516,1156,1166,1118
1308,891,1809,901,949
919,1044,1292,901,915
997,965,940,1112,1439
814,1054,857,1074,924
869,1166,1080,1372,1145
1373,1220,1685,1224,1791
1201,1021,1998,1072,1179
900,1012,849,1152,1449
1135,1195,1065,845,1659
976,1738,1501,833,946
1001,1016,1094,977,1625
889,1128,834,800,1146
987,1338,816,907,988
902,1462,925,1094,928
1547,898,984,1040,1193
1092,1567,1028,828,1356
881,1536,937,1262,1015
909,1380,1074,1024,1535
817,1043,1281,923,1399
1748,1126,789,993,1186
754,1232,902,1076,1472
915,1176,1407,1176,938
940,1294,1303,845,1027
798,1179,1042,1177,1371
