Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,t,vertical
Springfield,Zephyr,Creston,Highvale,Lakeview
1048,1056,838,830,981
632,1246,780,874,1081
458,1169,1466,575,1202
1058,1541,379,754,1393
978,1450,1193,769,1401
425,949,954,752,1237
772,702,1558,952,769
1340,1281,958,993,859
1157,829,737,515,1104
936,741,1217,499,748
766,1046,1173,210,878
942,677,852,1319,779
803,1249,697,375,950
969,488,684,923,1302
694,1124,1151,936,179
588,936,1016,1098,201
671,30,782,978,1288
905,691,1008,552,1171
957,959,628,696,696
988,989,1229,907,290
1473,1151,1075,1143,1241
1237,847,1417,976,793
490,1016,986,1691,386
100,1050,1145,1582,1011
726,500,1232,1088,789
880,815,1051,310,1068
931,1008,770,423,946
754,1206,1368,712,1404
890,1277,687,870,1122
871,1174,541,508,679
1010,1131,788,5,395
655,986,285,1001,2048
878,1444,972,1024,822
871,1482,1083,482,372
1036,1315,1278,601,1072
836,1045,1028,940,672
1026,1366,1294,1410,1213
505,1183,1220,1131,994
1062,335,1202,588,1777
831,471,725,853,1174
557,1118,754,959,322
1099,946,1405,815,961
905,963,1243,1656,451
784,700,1091,1378,1122
764,1431,1251,531,922
658,1160,1231,21,475
878,1400,519,1001,690
195,693,1449,1182,1404
268,1075,641,960,733
914,1562,1070,445,886
771,943,1410,413,1245
616,1372,907,1090,868
859,1113,1062,629,1056
1004,1023,964,410,1079
396,1609,1192,915,644
1264,774,1386,544,1223
1600,1022,1321,342,904
814,793,1154,860,811
744,1252,892,1149,1180
1034,901,582,30,841
572,1412,1436,760,459
892,1441,1205,759,894
639,1037,1125,600,721
1072,80,1391,803,1166
1164,1164,879,867,1013
997,941,1148,1114,1356
1079,1721,1122,245,951
854,644,435,641,1013
1156,820,927,936,1212
714,734,783,552,271
988,1176,1265,349,799
922,1439,464,940,710
875,1669,1458,1374,1064
665,1159,1306,1175,1079
912,1357,916,883,687
892,857,771,874,1501
973,578,1129,893,264
842,2222,1113,905,140
787,513,1044,837,888
1061,1633,748,570,1020
712,828,667,812,1603
1034,1234,556,816,1607
947,774,893,985,590
934,677,765,1474,1278
1268,548,1399,945,1650
657,833,1511,1222,597
831,1106,994,515,363
694,1574,1574,473,1365
1162,633,195,1475,545
781,1273,703,452,937
968,1002,1228,534,735
848,529,1043,844,745
597,1267,1388,1180,620
1063,1195,1195,674,802
1053,1085,760,1020,849
800,832,1404,576,636
804,1215,1136,855,749
603,1339,1233,499,1029
710,574,1236,645,269
1141,597,1673,330,1190
911,999,1281,768,1090
910,1472,1291,291,818
1271,1121,1133,872,1818
896,1047,763,1151,1249
1357,655,1464,1459,362
810,152,925,728,1297
964,1163,1271,1420,344
652,463,1340,978,632
1125,1446,1092,1021,967
1169,1356,1170,814,551
294,457,618,918,1343
1043,1464,1187,681,435
1122,1181,992,675,212
957,1117,1065,956,697
