Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,skewed,vertical
Castio,Showio
22071,11632
36913,16774
27873,10949
22076,14204
22275,13639
22455,14181
19989,13400
20938,15411
35744,13064
25365,23133
23992,12117
23351,19266
20877,13328
36288,17526
34794,17172
22454,12601
21023,10577
30205,12395
28503,12023
20354,13361
19039,19290
22876,11140
27330,14410
30727,14303
23912,14375
32488,15605
23763,11988
22787,11559
25214,19548
26190,10949
20869,14025
27368,14526
31348,17098
23588,11252
28530,12482
17968,14579
19382,10811
24583,10423
20131,10056
18384,15151
18497,14996
22889,17389
25830,12922
27439,11355
26347,14456
20123,14422
29926,21598
22119,14012
28903,13444
18920,12431
24454,15995
22323,12030
22891,14588
20676,15508
23924,13129
25107,10870
22434,13296
24932,15219
24412,14780
23400,18808
22778,11212
23936,17169
22630,16508
21909,20109
20581,14793
25535,10709
29949,14655
30795,14281
31019,11343
25486,10835
23491,12341
26580,11878
23947,15067
30910,14544
30628,11039
18880,13679
23854,15325
26547,12249
20634,13889
28603,11284
22133,19155
19536,13391
35170,11810
30675,12446
24829,12946
26647,12158
18449,11650
29621,12591
30374,13421
23351,15421
20739,15714
26974,10873
21891,11905
26503,14485
21102,14701
28724,14658
26831,14234
24274,10926
23563,10182
35129,10855
21603,12846
29284,12751
33996,15358
21114,10806
22109,14482
21375,15770
22039,11670
28644,18477
18196,15073
25003,13962
25309,14952
30566,11897
23234,10908
20126,13027
20927,16253
23887,14616
25596,22403
21230,11345
