Retail and E-commerce,Daily sales statistics by product category,thousand USD,skewed,horizontal
Automotive,Beauty,Movies,Pet Supplies,Toys,Baby
102,186,71,285,263,377
275,81,271,352,180,85
200,343,497,191,452,200
156,336,187,399,298,108
181,317,213,371,60,185
147,221,364,74,174,223
139,163,119,109,268,400
162,124,155,258,173,218
118,448,228,293,321,169
241,133,298,197,233,91
135,90,105,510,135,493
239,137,199,240,93,285
438,219,86,579,189,334
210,232,200,255,187,159
251,115,182,288,428,365
322,186,236,197,75,426
81,236,94,308,60,253
262,77,128,132,195,113
70,175,331,150,198,206
120,164,285,457,358,343
204,238,307,124,167,369
309,299,312,228,243,251
128,191,326,400,336,255
277,127,120,521,165,381
236,189,112,379,192,213
120,172,183,490,131,164
222,203,451,196,340,208
126,99,442,481,108,132
223,86,193,234,98,289
197,127,226,193,469,137
131,224,282,457,187,172
265,102,177,327,244,59
259,221,226,298,407,207
95,154,164,200,133,161
174,253,142,234,420,137
163,269,265,229,199,263
408,327,138,279,154,122
137,241,200,612,256,236
174,73,318,116,300,103
71,131,282,448,335,58
294,212,352,129,250,97
247,114,108,140,104,150
410,297,118,154,330,151
138,255,150,544,240,240
181,176,96,593,80,454
149,247,127,159,312,133
121,155,554,141,172,414
280,136,178,528,150,139
152,124,308,129,398,175
323,114,217,193,235,206
164,292,255,156,293,102
259,299,307,250,250,354
98,143,352,202,380,186
183,403,156,467,426,295
194,213,121,330,169,353
346,211,101,387,206,135
133,133,152,384,507,97
176,214,110,332,204,241
191,264,227,310,233,127
236,315,256,356,131,87
146,137,103,164,92,234
199,156,234,484,578,328
176,165,424,205,273,211
288,137,269,174,191,281
78,65,173,420,375,301
141,297,469,403,95,398
124,99,146,119,588,146
288,311,427,249,142,114
412,73,190,311,74,476
214,191,231,259,45,128
68,165,198,169,232,249
130,92,290,124,251,482
244,349,226,173,240,346
304,182,346,270,501,80
344,95,366,364,310,191
171,179,230,271,166,256
245,66,168,234,549,232
178,228,217,372,148,422
310,127,204,452,75,118
99,129,206,584,448,387
250,143,356,251,164,221
221,374,132,189,178,76
306,184,361,397,87,82
104,387,284,145,126,343
262,128,185,358,134,224
423,104,238,232,183,138
103,318,307,203,168,124
164,239,405,323,194,235
159,58,152,176,111,366
196,72,219,196,276,327
149,218,141,339,398,212
82,174,173,122,552,91
85,355,302,129,359,413
184,98,274,164,424,177
193,224,209,131,276,208
201,197,132,309,192,228
91,181,184,489,263,279
117,486,276,414,587,63
304,208,231,333,130,253
165,150,227,274,174,174
99,95,107,538,189,479
83,252,276,277,280,118
192,152,236,333,146,298
194,437,140,322,192,311
129,367,149,329,76,219
118,63,241,468,68,171
60,162,203,398,323,312
233,78,187,146,254,173
240,318,183,338,148,339
125,245,96,194,403,120
128,148,145,128,82,130
116,201,253,192,165,115
266,193,173,157,139,147
109,266,177,646,199,206
213,188,340,175,218,107
371,325,157,298,209,204
90,179,290,318,183,156
59,138,101,450,553,346
