Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,normal,vertical
Shadow Line,Last Ember,Broken Mirror,Plain Sight
238,445,573,659
579,592,701,1077
597,379,580,945
614,872,630,853
559,478,709,417
909,604,899,729
928,832,412,546
540,668,628,437
334,872,594,323
703,95,233,741
612,619,860,493
864,452,513,621
509,617,342,949
321,259,746,694
479,459,652,627
631,551,817,586
475,709,645,759
795,706,555,721
624,657,216,771
291,804,174,447
388,952,709,871
459,815,698,470
323,649,878,587
437,598,796,435
539,532,862,527
842,479,740,654
479,216,616,861
710,913,522,572
602,316,660,531
339,658,176,621
579,445,589,668
654,528,502,956
490,693,627,117
497,353,34,384
864,587,804,636
396,627,196,689
745,376,535,576
375,468,604,961
708,243,331,493
699,574,710,857
824,519,821,153
395,669,190,796
549,575,369,302
467,297,491,437
771,376,914,1054
796,859,828,774
777,456,630,652
604,702,646,830
686,433,702,746
530,500,683,63
850,591,828,665
763,420,628,257
767,623,710,672
641,301,850,528
444,668,563,506
751,824,534,208
430,697,182,534
812,350,825,178
493,724,610,873
734,452,353,617
577,250,707,659
775,749,535,479
439,765,812,510
394,745,672,352
701,249,549,548
485,699,372,607
686,492,716,537
504,477,487,457
610,284,592,522
574,610,568,516
439,895,729,493
476,599,751,287
454,474,479,686
109,752,588,189
645,684,756,399
730,554,441,438
768,558,305,696
402,917,736,551
496,736,431,799
475,697,450,666
307,432,416,720
697,400,878,675
662,633,712,525
443,396,548,867
828,754,722,606
471,445,821,897
424,124,521,682
649,509,435,666
782,424,879,459
220,421,438,939
582,403,272,649
649,239,485,481
762,17,600,796
120,463,492,276
700,528,594,602
215,800,725,627
639,139,243,662
1022,585,579,200
590,411,441,605
742,766,520,687
296,645,388,746
646,386,257,338
586,407,1052,571
653,541,742,585
528,483,538,771
399,787,359,810
346,544,699,739
381,427,565,172
641,306,454,507
906,589,432,871
218,691,706,333
445,493,773,482
686,311,577,391
584,464,316,953
517,718,738,616
561,677,678,407
