Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Star Plateau,Coral Lookout,Silver Grove,Maple Arbor,Dragon Ruins,Willow Grove,Golden Dunes
14508,4679,12026,12434,6779,9300,5748
11616,8956,9329,10991,7062,9824,8730
10036,6486,8863,5543,13439,9102,7106
9982,9335,3031,8325,7030,8067,5577
6392,5864,7673,7562,7773,5473,4625
12734,11335,2989,7386,5695,9372,5121
2215,9078,7015,7507,8502,8351,5598
6517,4164,11067,10943,7001,8662,4431
10118,5448,8409,7072,2749,6674,10751
9295,10729,7416,5273,10148,7349,5712
14153,5689,9410,592,3724,9339,9610
4040,10624,14740,5734,9874,7995,5793
9652,11115,9716,6934,12748,8583,8833
15844,8559,7393,6796,3492,108,3794
7232,9439,10303,11037,4989,13434,6786
8574,7394,9905,8125,13186,7042,7042
5654,8722,9451,11374,9441,10978,6521
13892,7818,11371,8097,9928,9188,5438
6032,8892,12489,8535,4659,7961,6388
11409,8087,9041,7511,6184,8836,9405
4308,7564,8028,5719,9387,11144,8227
5074,3431,5911,8318,3025,10262,6895
18138,10759,10095,5394,11876,14632,6340
13613,7698,11830,3969,6523,8367,7724
9363,10752,6880,9695,6348,12532,7528
1343,10098,11874,10485,8462,7035,4278
5971,4137,11625,11046,7759,10886,12399
7876,10916,7491,9408,9261,9988,9311
9014,7467,5978,11984,11551,11376,8513
10639,5937,6669,9032,10485,8809,7216
6002,10042,4880,2267,9574,9145,5269
6300,10249,12355,9222,6769,11473,8348
4474,8025,7968,8325,4522,13742,6314
10423,10914,6694,5685,7935,3853,14186
10024,2668,9609,12951,5103,4000,3136
11146,6052,5675,5083,5592,8538,10063
11380,6584,12778,7546,5821,7105,5909
6483,9903,8322,7767,5210,13546,5590
6025,4720,5952,8112,7940,3019,5666
7998,8172,8791,5156,7443,8136,5613
16359,11252,7100,6393,5818,2231,3449
7764,6122,8857,8245,7140,2626,4979
8912,15151,4356,7084,6104,7427,8554
8193,5437,8966,952,9904,9256,6566
4183,12483,10280,4289,6389,5804,6265
8606,7646,9670,7828,3774,15248,7583
4850,10056,9295,3443,6628,9534,4517
3532,11982,7392,5942,8147,6733,1838
8177,15811,8987,2696,7872,8327,6600
13700,4827,14943,12636,5088,6408,8025
12123,1682,6360,9529,7109,9550,6761
9291,4678,12614,10022,12558,13682,6045
3383,3511,6214,10601,6756,2531,7636
4084,7552,7848,7695,6808,8826,8016
10776,5253,9109,6070,8372,8216,5636
7034,12134,7662,9865,10514,7197,5677
11168,4793,8535,665,8361,9753,2536
8234,2190,6248,8539,2928,9193,10728
10950,9232,8937,10453,12073,7967,8929
2029,11599,9682,8628,8432,14855,7000
8034,2709,10441,6690,9520,13087,7482
7508,9700,4053,16401,2662,8438,7268
5805,13718,12906,11450,4539,10994,3622
8905,10136,2547,8814,5847,983,3149
8462,6443,11883,2972,9040,10407,10419
4858,6388,9215,6382,5086,10221,10660
4817,4125,8885,10851,14971,5049,10500
4151,10046,9523,4358,6220,12677,6118
3736,7880,8611,3682,6557,4279,6633
7805,7763,4940,9589,9408,9082,11041
10587,6498,10360,6930,9585,7126,5716
7309,7990,8496,7871,6009,423,9932
11664,7376,7026,4447,11971,1462,6084
11044,11390,8299,9221,11402,13745,7963
3842,11416,8485,10060,9484,7802,3542
6838,6256,7145,13600,7292,11104,4555
9986,11277,1657,11801,13091,3504,3899
5328,4580,12392,5658,8649,11230,4249
4972,2253,10260,8471,11409,4381,5975
8531,11497,5730,16349,8351,7512,9679
5931,14290,8306,6542,4136,9407,7716
3678,9166,13026,7552,8675,9850,6400
9541,7982,12047,8584,4852,14281,5142
9606,9453,8807,1584,11036,10258,8523
11843,8473,4325,8495,1210,10779,6034
6300,5634,9773,3187,4495,8520,9833
3794,2760,7835,6113,12232,12385,10470
14501,10999,9637,9185,10775,7063,1640
8118,3858,5054,2856,11299,8614,4235
6144,6643,9431,4624,5615,8009,9254
6152,10257,12256,1678,12749,4517,7940
7638,3489,10126,6386,6557,5262,5508
7224,7953,16010,5444,3112,14201,8527
6371,5808,7098,14630,3313,8508,11101
12649,4570,5512,8030,7918,5712,8289
11513,9855,5410,6594,10458,6067,9382
5368,4835,6793,11582,7303,11066,4816
7876,7267,5968,7252,10178,9044,5957
5563,4209,9338,9278,7822,10436,7489
14374,7017,10794,11661,6312,5207,5288
8742,3920,11325,6909,4713,7312,8149
6959,7739,5725,8093,12600,8026,7263
8989,7924,9110,5806,6945,3568,5980
9291,6649,10319,8919,4422,5589,11172
12301,8028,7154,7755,12230,10193,7909
2480,24,9128,7615,9722,6471,6771
6409,8883,9150,11036,11054,4751,4397
10882,10182,7709,9153,8380,1482,9076
7707,7777,4530,9986,9596,5879,6530
4836,12212,7981,9156,11445,6470,6534
5908,2404,9557,8831,5050,13943,5246
2082,8427,5706,6594,5181,11488,3543
7964,6753,9703,8881,6734,10726,9532
4367,7567,9510,4275,11029,4990,9582
9129,7724,8462,11830,10113,5060,6275
6678,5224,8153,6145,10403,11426,4577
