Business and Finance,Data on the monthly revenue of different companies,USD,normal,vertical
SkyBound,PureSync,PrimeVue,PeakPoint,DataPulse
20999,30224,35152,67923,38919
53087,30650,60609,53006,71811
53864,52846,56395,50537,50561
43436,80674,79546,46112,39418
78579,43558,22298,34615,19891
61515,53033,48923,54194,55367
55699,38922,25696,46925,56180
68894,55982,79445,58487,54314
63625,53567,54715,64912,35189
50235,66733,71185,75653,61125
22646,60636,38904,38513,62411
30828,79485,75321,63988,76447
63324,60975,41025,51457,55017
87297,89332,44195,70091,43197
50121,59188,68845,54951,60052
63661,29675,48384,65578,53930
51528,73510,69416,58260,85829
34605,67353,82890,48129,51194
70001,43767,39454,73587,72093
45091,47611,42069,32687,34306
54873,13458,48757,57548,66312
51995,50331,51992,63106,36470
68996,73952,47552,40223,20956
69279,28766,46855,68203,55777
13170,57085,39578,71758,27581
51730,56112,43599,59602,44672
74616,56402,59311,91940,19310
57394,76858,29064,59889,65664
47683,59867,56231,62147,25160
77614,4387,46073,68854,62944
51454,65739,47081,49345,48982
76560,51263,31375,61777,14720
42750,78120,39968,60942,55410
77982,49542,66913,68417,43127
56165,68494,47381,42095,51147
36851,72755,35938,48893,57118
40430,34585,59143,62072,63689
65313,48655,44718,45380,53220
73820,41915,53192,53766,32190
31924,73781,47676,85120,43661
42883,59737,61799,44634,56456
46392,45803,68124,38716,48548
63331,47497,65571,61637,40407
67626,39894,49296,66754,50250
51898,51892,58403,61613,56199
73209,35105,56948,49575,82877
78640,60291,74156,67677,64751
53831,66203,47205,48353,49581
43332,19698,43926,72885,48234
55099,47010,20592,67911,28487
69861,30402,40824,79830,13855
31312,55329,48732,74963,33022
57179,45801,35803,60327,42919
57743,1507,40897,63252,60612
39901,64534,37168,42000,97527
49399,56767,46382,47249,51196
48312,54231,48571,58284,34805
34226,43266,36050,76435,68410
30908,57699,58454,54794,36759
26719,56603,56101,72300,15536
54250,67361,60709,60211,47042
57615,60541,76793,67448,72862
109487,33103,36805,50258,32643
72675,90836,49157,50073,65262
74448,59450,74571,70652,33807
53861,57541,52735,43011,47861
73327,25821,39096,47195,29880
59198,43670,67526,41389,42989
51147,44004,57025,60480,75758
66403,44479,65260,75031,33199
57067,38973,38158,50244,36216
37110,30817,60706,69371,47913
51950,37107,61312,65365,74984
96657,36670,35552,36866,61391
56683,50086,44905,66440,62772
38882,49443,52391,35225,21144
48515,74858,54684,82176,69073
30441,54215,59252,55344,41180
36210,58169,68309,69403,54975
14853,52936,45085,62614,47169
48813,51262,73151,82031,40789
58759,56431,77186,76766,53250
61031,48318,28754,75209,67017
65286,57989,72151,56893,67431
49088,56762,52485,52137,37301
47615,48691,56935,86671,35971
45546,45462,56182,70167,60193
34914,41345,37882,55257,52396
56855,65456,53111,61986,49797
48046,71513,71638,71617,70325
51843,55474,56943,65874,55598
52678,74818,56326,43829,49732
21892,47960,51738,62054,56789
59395,53072,78538,51710,49110
26524,85023,41204,40008,63598
71357,53691,46383,60737,61604
50178,37354,39370,61739,62483
51871,68420,47483,56191,58880
46631,71424,67271,61010,6788
66642,69639,58760,55276,43571
70519,64280,56263,62748,73206
64734,53446,37798,57102,57509
71032,73235,58618,82868,52541
47604,33755,31856,43313,36361
43143,41014,69541,50383,26336
59463,84133,57270,59337,37263
42221,41594,39875,49625,41265
49674,54907,55950,41171,59734
58491,10858,68572,36657,62088
77419,48361,44053,72835,51359
79554,54748,58907,44979,69067
46645,40677,18748,73671,40639
50723,58791,63475,63064,48667
94522,52132,42775,62723,41066
67450,45607,60520,86669,62473
64286,53880,33930,33559,63444
45779,62501,61720,54892,67559
60790,66548,67121,70662,62866
45300,50143,69047,45517,56396
57350,59310,52748,42556,51259
