Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Dunvale,Fairmont,Mapleton
967,1105,1264
751,763,932
978,1097,1155
1406,858,1358
1645,560,1833
1072,655,1215
1504,489,1055
1145,1438,1152
657,1440,1233
1048,778,1256
1487,767,1140
1518,457,1398
1579,845,863
1280,903,856
1164,887,875
1435,1016,817
1303,353,1071
924,1022,1095
1349,721,802
1293,1065,1051
979,1121,1519
1405,592,1073
1032,815,1025
816,994,1085
1405,694,513
1122,1541,535
1317,473,1472
791,848,1604
1154,1068,1073
435,707,1296
634,254,1052
915,779,1033
1250,560,831
1551,1516,1683
1021,1421,1162
1088,1240,1169
1136,1303,1268
1107,896,935
1015,921,941
834,781,377
1217,879,1470
1445,1218,1515
978,981,1192
1026,197,932
1175,579,982
1082,566,984
1159,1199,1021
1425,338,1226
851,652,1598
1251,708,1407
1403,885,1191
665,23,1700
647,1203,717
1291,561,816
1465,56,1104
992,1375,766
1216,1042,655
1210,958,804
1345,207,1370
1236,831,965
502,728,1877
1201,671,817
885,1026,987
1622,640,1076
1146,690,1257
1132,553,969
586,828,1804
997,1226,1019
343,1190,1052
936,1393,1847
813,1502,951
1508,954,1316
895,999,1030
991,284,823
1333,963,352
1322,1344,1436
1120,575,669
689,381,1148
598,980,1484
1509,909,659
677,749,737
442,899,916
1142,601,898
1017,1183,1128
1057,966,1153
1269,717,1622
1146,1121,1004
659,692,1493
1288,674,1159
951,438,1161
1142,737,1286
736,603,1139
896,917,788
1491,830,1508
1075,754,878
1029,944,1646
790,938,1171
923,910,653
962,237,1302
1146,681,954
1071,1185,1289
1125,627,812
1033,426,459
1136,1109,503
1151,751,1275
1224,415,1717
1396,708,1333
1238,607,1301
910,1320,987
1174,353,1307
668,1049,1279
931,373,954
1223,749,761
1173,453,2051
1137,731,715
1138,1400,839
1502,651,1575
