Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,skewed,vertical
Glenhaven,Zephyr,Northgate,Ironwood,Dunvale,Oakridge,Springfield
641,1355,1085,565,361,1261,1309
964,947,1705,596,962,1062,1582
1396,1249,1221,1023,664,1124,1103
1065,1079,1280,722,1694,1341,1352
1044,726,1164,579,785,1011,1479
943,954,1523,519,906,952,1385
1782,1276,1119,1480,850,1055,1268
1146,737,977,1382,1121,974,2040
666,1085,1053,322,831,1162,1560
646,1111,1073,561,1420,958,1363
1873,813,1182,908,563,1167,1329
1393,825,1618,835,634,1165,1405
1144,830,1074,1214,486,1216,2411
1200,842,951,639,483,1277,1510
1252,756,1119,899,398,1232,1396
1251,1025,1352,855,725,1368,1329
1466,854,1153,479,963,1026,1611
1131,795,1356,340,1488,942,2411
1621,922,1185,619,426,930,1263
1133,1124,971,1417,1096,970,1934
775,1076,927,1235,357,1276,1159
1279,1157,949,319,1016,1338,1663
1157,1314,1315,944,892,1042,1341
971,876,952,1133,1050,1025,1148
965,867,1186,860,697,939,1135
791,858,952,979,744,1143,1593
1600,1001,1351,1157,712,1314,1068
1141,1298,1313,1143,446,1321,1439
1107,1092,1260,706,945,1191,1785
721,922,1285,602,1269,1607,1360
1649,1224,924,330,763,1263,1227
1345,871,1265,781,778,961,1339
1011,986,1299,845,985,1191,1405
658,911,979,1192,1127,969,1434
1447,961,1282,739,726,993,1437
1283,1087,1195,541,889,926,1113
1300,1147,913,1852,461,972,2698
1629,1068,1623,769,1189,1457,2030
1079,1113,1207,611,787,1112,1564
881,1009,1008,1106,420,946,1617
1213,823,1028,791,1243,1021,1194
1330,862,1307,605,485,1029,1253
1384,1222,1054,580,642,1065,1498
1514,1172,1156,1480,592,970,1192
835,815,970,1067,714,971,1193
1100,1004,1154,1090,1456,1005,1425
997,744,1032,913,720,1158,1650
1087,1219,1193,510,1135,995,1000
1707,1110,1028,546,856,953,1123
710,718,1020,640,748,1095,1432
1364,847,949,1168,1259,990,1735
999,1125,1014,1069,1023,1413,1562
1152,791,1135,371,694,1169,1506
1006,1000,1165,1487,270,1003,1629
1001,1128,1077,470,819,1127,1180
1210,1167,1386,485,464,1080,2764
769,876,1133,1057,1546,1008,1550
811,889,1482,1178,980,969,2569
688,997,1160,785,549,1107,1353
1149,952,1609,454,698,1180,1394
734,1194,1297,457,703,1309,1734
1320,970,1025,874,558,951,1467
1417,1292,1004,1133,236,1221,1393
751,816,961,292,438,1079,1453
1282,704,1395,818,1490,1181,1653
2000,1398,1253,871,473,1163,1810
679,913,1103,663,635,1069,2078
830,899,1536,1185,1002,1054,1447
660,814,1019,408,723,1053,1498
884,794,1640,745,892,1087,1641
1196,930,1053,1314,577,1388,1045
1514,845,1126,347,1256,1182,1116
636,1140,1246,2025,1122,1142,1154
780,1147,1291,310,1129,1141,1422
948,854,1754,348,857,1346,1294
701,786,905,675,722,1021,1847
738,866,908,1083,818,1021,1825
716,769,930,394,679,1679,1149
886,1265,1146,748,555,1114,1218
1108,1259,1380,721,851,1171,2013
1177,1453,1261,275,548,1063,1648
652,849,1149,688,840,1003,1022
1587,939,1299,379,1247,1238,1317
913,930,951,571,959,1117,1578
1891,1064,1114,431,506,1427,1124
1768,881,1257,1483,736,1290,1326
762,1009,925,468,850,1025,1077
912,818,1082,949,1502,1100,2581
1135,726,1628,1049,549,967,1444
1234,1032,1029,735,1141,963,1849
1191,941,1304,1352,1149,1031,1266
1251,982,1035,1030,530,1048,1823
637,1028,1501,524,1360,913,1713
1632,1189,1066,829,1381,957,1503
764,1038,912,839,997,1175,1215
776,1051,1103,866,539,1159,1104
1061,728,1175,567,631,1024,1835
1540,882,1077,1024,822,1049,962
1273,1013,1734,608,1675,1411,1191
1300,1319,950,642,540,962,1576
974,1193,1053,248,633,1184,1223
847,898,1663,702,794,1044,1639
842,870,1212,1015,965,1017,1304
1899,877,1295,918,1543,988,1312
1049,1095,1527,586,1389,947,1036
918,923,1002,812,569,1035,1377
707,1325,1665,792,1184,1031,1723
1286,981,1192,456,523,1016,1192
1124,793,960,282,370,1079,1540
830,1147,1152,551,345,1028,1397
1357,801,1141,1324,1128,1199,2383
931,891,908,493,969,1064,1547
856,843,944,1211,400,1025,1356
966,1122,1223,1358,988,1086,1199
921,1404,1428,577,667,1169,1210
1471,883,948,1110,909,1452,1572
847,1168,1313,439,605,1143,1339
895,709,1101,928,597,1116,1216
