Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,t,vertical
Mapleton,Creston,Highvale,Lakeview,Springfield
1523,1139,862,464,1087
1021,463,1541,811,755
1531,643,1214,829,789
1770,1937,500,600,844
1467,1934,1132,988,610
1103,408,1484,346,1183
1468,1195,1324,1063,927
861,1579,986,1207,663
1383,1045,1585,1004,865
1607,981,1143,965,942
1347,292,1506,1195,1553
1920,954,1135,560,580
1025,958,1472,891,1245
1554,1433,1227,913,1064
1247,901,851,580,1288
915,1138,1743,96,447
1012,983,1914,825,1757
1051,1070,870,831,1026
1436,837,1088,656,1567
1023,570,1637,889,1732
1458,1215,1157,1258,1131
1198,1389,1489,1095,751
1033,1480,1267,1211,1109
1374,632,1576,263,579
1091,1014,1180,798,1237
1014,783,1265,775,1205
1209,804,1934,891,1051
1305,1934,1068,1318,1255
1138,334,1592,815,1031
1218,1354,735,837,1448
1214,362,1339,980,706
916,747,1076,1022,1346
575,2082,991,755,1217
1230,111,1336,1256,666
1503,1010,1972,1141,846
1297,503,768,790,877
1665,762,1131,1116,953
1529,420,1181,1189,1284
1124,1071,1129,1156,763
1589,789,1407,675,1001
1567,903,615,807,1417
1025,1582,1157,952,1066
1519,1117,1430,1151,997
1903,1463,859,165,1463
972,1294,1244,799,992
1364,442,1284,519,828
1568,549,1135,1281,1094
1251,1254,1298,670,771
506,1788,1027,919,730
1463,814,1489,747,1066
1004,1193,879,999,1129
1408,730,1020,679,785
1793,421,700,1019,849
826,1262,882,663,1448
1123,724,1367,986,154
1338,1356,654,907,739
1435,1620,822,1138,1194
1499,616,1757,917,1202
729,1183,735,858,1410
1614,686,1018,1023,1180
969,1263,1418,814,975
1313,1591,1102,929,1038
1748,583,1726,959,789
1530,884,1455,986,293
1578,1899,1018,1164,942
719,1179,1144,828,1171
726,1247,1567,563,1066
829,1363,1472,1303,583
1236,866,1029,935,494
1204,1168,1240,815,691
1271,671,1147,670,1054
1160,683,1292,1194,402
1268,739,1514,768,1623
1206,1146,1242,1139,601
1691,772,1274,1105,745
1018,611,760,1091,853
1626,430,872,1300,1334
1368,1644,1647,753,1018
1805,916,670,1294,1199
918,1127,1240,1301,696
1756,1293,506,933,538
952,2015,1419,1019,943
1257,571,1397,567,826
659,1441,2090,1039,423
1792,42,1134,999,788
1584,957,1379,533,742
1245,630,968,1050,1796
1192,1433,999,885,1098
918,912,1344,870,710
1197,949,1365,1352,989
1035,689,1529,805,369
1399,1574,936,1169,872
1127,1220,1281,762,1010
1431,1332,1558,1257,1055
1038,504,1170,922,123
959,170,1539,869,519
1384,778,179,934,1239
1349,1386,1148,1270,412
837,1198,822,758,1644
1032,819,917,990,1386
789,1451,1305,491,145
799,832,1066,1219,828
1288,875,1558,842,1017
1175,309,927,1009,1031
1662,717,1222,967,693
1324,412,1648,1239,388
1208,999,1942,1220,694
850,451,1323,1040,908
1364,1460,1463,735,1501
1553,849,1471,470,1427
882,1128,908,864,1240
1632,686,1330,895,750
1166,879,906,1239,1048
935,1427,1892,902,703
