Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,normal,vertical
Elmhurst,Ironwood
1884,2147
1413,1654
2467,2767
2225,2057
2395,1867
2463,3032
2510,2273
2235,1424
2221,566
1714,2852
1837,1524
2420,322
2237,959
1980,1213
2452,1961
2047,1588
2354,1728
2579,954
2029,1005
2278,1565
1904,3175
2034,3712
2178,1725
2151,170
1720,2139
1744,2562
2231,2536
1851,2487
2192,1609
1983,1983
1707,1396
1636,2057
2051,2812
1738,2445
1855,2498
2015,1763
2438,812
2280,2670
2358,1834
2318,1686
1937,2362
1916,1988
1957,125
2168,2579
1944,2497
1513,578
2228,1850
2731,2370
1962,888
2399,2009
2119,2329
1586,1209
1956,3078
1642,2615
2092,3221
1613,950
1814,1365
2658,1020
2339,1464
1290,1124
1905,2074
2348,1926
1962,1042
2455,2257
2372,1859
2637,1275
1931,2148
1868,704
2244,2157
1729,771
2554,2791
1829,2946
1782,2007
1610,1871
2221,2230
2618,2746
1923,1372
2008,441
1996,2111
2199,2630
2111,2419
2152,1943
2422,2678
2309,1419
2062,1605
2004,2404
2044,2564
2340,3053
2271,2937
2182,3183
1663,2479
2230,614
2140,3064
2379,2831
2231,1943
2210,913
2187,1601
2184,1759
1816,2453
2256,871
1782,2355
1895,3071
1809,2838
1436,627
1967,1524
2449,1529
1968,1685
1740,1745
1977,3108
2356,2354
1861,1247
1810,2119
2212,1950
1310,632
2013,1953
2017,1737
2253,2744
2065,2425
