Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Quarryville,Oakridge
463,492
742,640
409,784
647,509
734,712
555,602
534,366
593,505
634,634
640,512
522,727
550,627
538,560
507,571
555,630
579,478
477,636
437,436
390,938
777,742
506,720
671,823
529,551
544,732
638,553
586,560
562,782
698,566
625,576
310,568
542,461
618,564
600,565
637,546
419,463
580,677
606,628
591,625
667,483
651,527
524,451
471,594
640,628
683,512
784,584
610,600
575,649
561,708
566,546
689,682
597,717
353,565
612,674
583,633
346,566
454,338
492,563
621,617
471,539
542,478
634,803
568,719
420,635
708,641
523,639
664,768
473,683
643,728
623,661
610,655
589,692
542,617
461,587
536,372
311,690
483,933
568,744
740,648
528,771
347,766
708,555
562,781
369,501
288,530
673,762
619,602
566,695
538,540
712,42
638,562
469,429
529,597
502,634
557,624
766,653
571,459
519,612
430,515
564,613
557,612
664,484
525,658
452,512
687,533
590,693
485,618
569,498
601,544
601,676
484,651
633,408
573,732
676,686
504,730
501,599
695,627
598,546
560,552
