Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Maple Arbor,Crystal Falls,Whisper Reef,Emerald Beach,Spring Spa,Rainbow Gorge
13382,18531,7505,9533,8155,4100
22882,7395,12446,6522,4460,11857
10347,8402,7716,7669,11461,14197
12798,6951,7006,7499,5535,14346
4200,9493,14220,7673,5690,18399
14668,4401,3778,5593,7204,19344
5562,4502,7197,14162,8483,13500
9583,18234,6986,5981,4773,9155
16422,13737,6616,13172,6749,3965
3872,11992,5953,17539,7361,8996
21033,16113,28188,16688,14098,8863
4445,4071,10946,7855,10498,6983
5073,15952,22798,3467,8004,5221
11393,3595,4008,8195,10338,5892
8461,4493,8121,10068,11384,24357
23311,7942,5979,13047,4424,11532
3577,13483,6616,9475,16613,13415
9209,9390,6027,20575,13195,9599
4382,8914,30300,11378,10048,10979
7326,22595,8108,10872,11956,16071
5438,13943,28111,8553,5296,9197
10305,16651,12281,5969,13076,14813
15460,10466,5758,9270,22471,9157
6891,9421,7856,22814,8715,18220
6116,7019,15491,14047,7569,12090
6488,6033,6251,15943,14615,32121
17827,4965,23837,3420,7773,11614
4346,16244,11348,8190,8560,3489
4121,3683,9613,6654,6159,5953
7952,6700,8276,7098,18384,6709
8737,6493,5893,5929,8661,12075
7450,11724,9435,3034,6043,6483
18217,8006,4067,5222,7382,12875
12797,16090,9296,11227,9361,7640
12946,8514,4898,5028,7453,10956
9620,13106,7970,8309,6622,4395
7473,10099,9153,4604,12185,14621
9455,5330,10533,25690,8617,13796
6630,6270,5243,12842,8228,10171
12501,16876,8103,10186,12472,24237
5165,13691,14319,3715,10467,6835
4258,4748,9483,21304,3976,9322
9091,5236,17959,4775,7588,8928
7963,3878,22981,10369,16772,5682
5428,6380,10173,7387,4706,10088
7548,17719,6715,4427,11817,13849
9470,3530,10581,18823,4536,13304
6779,6616,6066,24450,4899,7672
7151,23936,13664,7975,4866,9503
8169,6857,10368,18403,8999,4046
6275,4989,17115,4806,15025,9645
7915,8354,7321,6687,16749,5101
10549,7347,17071,19176,4999,7076
10536,10370,8260,12999,9730,10352
10088,8325,6236,6512,6682,7366
5059,11423,5469,8622,8096,14859
7038,11182,12594,11106,10786,11070
11032,6995,7454,16280,4764,14926
6973,13281,11559,12084,18783,11974
6715,29778,16849,9404,10524,4783
8772,10875,9177,5255,8767,12769
20189,16487,14539,9062,6869,24821
12932,16828,15763,15474,4820,6227
5686,5887,12892,8182,12900,10453
9430,6832,11385,12843,11260,5259
6251,25974,11560,3046,12985,14549
3795,22173,10613,22677,15016,20533
3323,21665,5467,13375,8378,14757
7274,6669,11774,5149,6747,5427
8675,6788,5115,16477,11347,13943
8147,17708,10444,9089,8039,18222
14090,18426,12198,8275,5873,3420
5720,11933,7503,21391,6132,6035
12643,9297,7340,17534,8562,4051
18803,17756,7886,3859,10569,11780
6175,14021,15492,8998,9312,12971
6141,5779,17809,14051,4216,3106
10950,5919,8629,6043,4583,3368
16119,11638,6997,21178,4903,13690
6740,9194,13067,5756,5505,10480
5836,11118,22113,11468,17145,5838
7501,7400,6485,22427,6458,4675
13144,8379,14173,7603,17175,3786
18073,12867,19346,10387,7195,18995
7642,4046,11769,6483,7706,6157
9518,6598,27019,8671,13596,7709
12253,11487,15874,8526,6671,17658
6625,17465,8635,11468,14993,17292
4362,6423,7107,4722,9199,6289
11114,6157,6174,19374,8111,6844
6051,6147,8787,5549,6112,15903
5686,8720,9513,5853,9246,26491
17264,6299,13640,8395,5079,5027
16067,32916,16729,10175,9621,7290
10746,11128,3969,6460,5071,27960
5680,5974,9214,5857,3661,11088
11094,14221,6150,6857,5100,11094
9152,11764,8442,3609,8140,8386
13728,22975,14452,14379,5061,10004
9638,4192,17143,8118,8218,7346
15187,5587,12975,21783,11895,5879
7559,8630,21062,5580,9186,10116
4601,4831,7516,9603,16930,15511
7350,13823,14576,9060,7748,8987
6536,9276,25900,20838,6133,14519
12051,5919,8490,5390,11001,8964
13441,13432,9541,9897,20400,4676
11578,10001,10859,14894,6427,7628
5854,24592,5853,6183,3545,4011
4733,6953,15061,21051,12364,4807
9762,6967,8012,4664,7543,5759
4996,18076,7700,5099,13040,7036
14151,5547,8393,6311,18479,10550
6225,3920,12328,12073,7668,27357
5685,9469,13607,5744,7403,18768
6891,24509,10379,12644,15001,4540
10401,15668,9835,9900,6990,10122
8603,11578,7506,13735,6496,7452
4755,12887,6130,19574,12065,11893
9641,6623,11861,8493,3723,5138
