Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Rosewood,Mapleton,Springfield
629,638,596
565,382,640
492,464,513
620,571,583
554,492,649
638,606,397
509,324,489
824,543,647
453,578,676
500,544,410
902,529,712
592,610,567
572,660,578
736,686,681
684,482,726
580,711,432
589,502,584
666,703,556
543,643,452
521,579,556
702,536,648
519,687,577
549,554,458
474,629,535
549,570,650
635,551,574
576,616,777
535,489,705
419,605,449
589,570,572
523,433,521
566,603,718
626,534,480
597,411,793
580,427,582
650,617,769
413,635,628
453,573,603
873,618,569
679,573,597
554,500,460
565,518,493
606,535,701
736,552,458
628,434,618
521,592,464
599,467,438
616,529,428
431,606,663
699,755,626
623,676,605
754,462,527
681,414,536
461,402,516
506,509,455
584,399,635
755,616,612
612,698,571
613,347,609
633,603,870
589,567,764
569,495,429
538,609,452
440,457,580
827,435,602
541,536,219
584,667,695
521,602,598
518,586,592
498,481,478
473,476,367
728,629,709
657,510,738
692,298,566
564,656,245
692,614,551
573,489,140
536,577,633
614,585,545
376,443,591
643,753,508
549,392,537
675,587,585
313,561,669
629,470,352
475,630,559
692,610,647
522,532,472
585,587,552
493,503,563
506,600,642
439,476,515
684,656,562
777,579,818
535,609,470
778,437,566
509,498,478
600,566,537
518,727,536
757,622,584
91,434,596
578,574,653
553,612,589
518,539,427
512,451,603
670,808,509
568,518,490
522,421,602
675,620,515
583,565,480
678,556,505
791,569,448
685,696,426
690,506,565
488,645,560
616,822,539
532,447,453
434,606,611
