Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,normal,vertical
Ice Cream Parlors,Asian Cuisine,Bars & Pubs,Fine Dining,Food Courts,Bakeries
791,540,706,704,563,363
764,414,625,817,503,714
312,681,649,488,31,633
797,403,511,675,465,430
522,562,565,686,401,713
432,614,526,535,226,680
621,153,477,693,432,781
475,472,677,605,439,619
991,689,299,778,648,377
669,155,531,700,689,745
632,471,559,445,559,725
569,287,757,530,418,474
652,806,681,380,315,641
762,474,844,812,288,741
754,809,823,747,246,265
490,442,402,650,456,379
627,590,807,727,488,892
827,723,665,487,530,559
682,538,607,561,442,731
196,531,746,608,436,682
470,321,745,832,557,450
690,260,591,645,330,608
687,382,626,685,293,456
406,556,526,608,658,646
827,375,710,671,537,489
603,465,757,471,663,904
507,513,506,700,330,713
696,399,563,677,529,441
641,380,670,871,452,409
173,618,606,455,523,668
620,641,642,677,419,587
512,460,783,810,157,691
424,495,514,377,692,755
550,725,741,925,192,885
784,514,547,738,512,644
635,620,758,485,561,849
516,469,745,660,527,700
369,560,852,370,381,924
689,643,674,816,426,885
642,301,635,753,647,714
868,378,630,543,424,566
624,312,775,609,363,650
286,580,542,507,525,484
465,395,571,530,488,648
807,340,505,885,264,628
386,326,307,724,452,556
300,525,717,935,590,702
723,377,639,691,402,146
594,720,410,453,298,710
791,643,482,1104,715,527
103,547,652,961,445,903
680,397,523,848,360,944
687,738,365,641,293,364
110,446,524,635,239,769
578,429,570,818,382,651
290,195,599,963,369,288
817,343,360,586,639,501
485,603,458,894,533,665
422,377,609,1011,457,558
804,549,550,1118,377,465
443,480,789,901,324,508
418,474,824,651,229,503
373,602,673,471,436,857
692,586,590,585,432,565
677,804,520,855,215,558
195,719,658,417,448,718
469,521,429,657,368,831
628,486,603,832,217,570
566,584,629,696,577,354
326,815,749,684,506,625
492,497,632,470,150,808
771,251,478,309,374,396
618,581,745,690,495,539
470,407,558,806,296,575
492,295,575,707,628,470
627,718,511,426,174,472
333,340,549,779,575,199
684,171,699,630,400,542
407,491,573,767,580,261
633,379,717,501,343,660
437,202,514,527,415,663
661,594,489,760,713,537
377,485,530,755,346,632
301,479,389,603,571,757
192,318,463,765,240,514
191,522,491,652,407,689
610,405,703,601,502,617
500,303,562,892,407,337
594,273,487,665,449,897
288,402,510,753,435,632
564,527,647,822,369,700
626,492,146,664,647,580
747,501,879,501,389,507
347,204,833,272,183,485
277,517,415,442,341,768
204,594,857,916,537,434
758,375,802,533,229,320
452,119,876,492,325,75
713,673,602,711,409,717
978,735,506,824,476,921
429,648,656,799,456,242
571,664,656,953,368,719
357,427,919,521,639,447
647,314,684,609,340,494
628,272,482,881,632,588
512,408,264,919,527,291
346,659,721,613,511,543
694,722,932,519,642,701
465,318,618,833,354,688
627,660,364,798,505,651
635,435,621,540,480,561
118,379,673,681,290,406
405,383,774,750,366,376
372,415,396,497,220,434
310,482,810,474,458,600
802,629,729,878,697,837
458,331,626,640,148,467
342,421,768,872,647,581
