Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,vertical
Rosewood,Lakeview,Dunvale,Yorkton,Zephyr,Creston
1596,884,1432,1282,1047,1388
1201,1823,1048,954,1210,1061
1210,1040,1088,1171,826,1134
1326,994,1009,1470,966,1195
1108,1995,1077,1339,985,1462
1871,1286,1184,1033,1075,1174
931,1277,1433,1329,1337,1092
1014,1035,1086,1099,1549,1162
1075,1535,1187,1222,983,1338
1306,1172,1037,1317,1166,1260
1316,1027,1131,1117,781,1241
944,911,1152,1003,882,1219
1328,1130,942,1362,1110,1471
1488,1162,1616,1788,1201,1305
1271,1048,1046,1426,984,1150
1286,1152,1279,962,1978,971
1240,1086,1310,1791,1015,1321
1170,1562,1141,1399,1260,1031
1159,1549,975,1036,1345,1365
911,1191,1027,1374,844,1198
1593,1167,1194,1555,1331,1223
1496,1204,1279,1024,920,1593
1277,1014,1339,1522,1266,1037
1573,1447,1057,1236,751,1608
1117,1166,1163,1225,1034,1672
953,1120,1058,1127,1043,1917
1411,2047,1280,1222,1029,1289
1059,1285,1304,1443,1110,2008
1333,1637,1754,1371,1194,1433
1089,1050,1164,940,1490,1172
1233,1055,919,1143,1432,1026
1287,1036,912,1001,1015,1787
1048,1230,1345,1026,1146,1339
1239,1815,1362,1041,944,1153
1745,1192,1726,1498,774,1546
1146,1127,1581,1133,942,940
944,962,1186,1146,914,1531
1358,1076,1541,1379,864,971
1911,1167,1294,1243,779,1194
1052,1349,1425,1028,1632,1256
1621,1264,943,1511,810,1639
1403,814,1521,1055,826,949
1300,828,1260,1598,952,1138
1507,1295,1391,946,1652,1436
1504,1065,1068,1183,1290,1407
1332,1392,1104,948,1135,1019
1473,812,1146,1478,895,1009
1918,856,1568,1263,868,2019
973,1007,1187,944,1145,1180
1221,1368,1167,1065,1575,1434
1089,1308,1128,977,971,1143
1337,1235,911,1041,1637,938
1529,1061,1385,1527,853,992
1149,990,1670,866,958,1030
1151,1214,1209,1445,1042,1019
1114,1158,966,992,974,984
1543,1294,1130,1154,1626,1519
1552,1017,1434,1076,897,1583
952,862,993,1161,1184,1358
1719,1420,1108,1999,1131,1029
1151,1104,1414,1156,975,1145
1493,1348,1071,1014,1852,1233
1297,1007,1227,1563,1511,1312
983,1050,1458,955,903,935
982,864,1082,1331,1174,1301
1076,1097,1275,1375,1796,1289
966,942,1140,1379,1464,1003
1145,1134,1241,1521,809,995
1143,1112,965,1090,1261,1089
1336,925,1382,1698,1401,985
1619,823,1083,1029,1137,1736
1671,1053,1275,1179,1553,1992
1238,959,1128,1408,976,1143
1180,940,1079,891,970,1899
1169,1148,1390,977,877,1340
1048,1153,1014,1006,1231,1732
1251,1304,1551,1006,998,1468
1172,880,1220,1135,950,1928
1035,1574,955,979,1941,1092
1381,913,1055,979,1203,1372
1483,960,1030,1455,871,1016
1147,1474,1396,1361,913,1170
1090,955,1670,1157,1029,1479
1360,978,1480,1818,1022,1866
1014,1387,1112,1103,935,1109
1312,1161,998,990,1057,2067
1134,1272,1077,975,1224,967
1031,1449,1537,1209,1120,1350
1586,1133,1251,1269,1267,1131
1221,1196,1500,1180,1222,1244
1304,1510,1124,1302,1241,1555
1358,1811,973,1289,925,1336
975,931,1065,1152,791,1212
1384,1056,936,1365,1222,1416
1057,1239,1401,1545,1009,1351
1001,1451,1614,1179,1087,969
1223,1402,1058,1013,1049,1086
1421,1560,1191,1140,787,1137
984,1238,953,2001,991,1065
1899,936,1230,1205,979,1551
1608,1021,1121,1159,1414,1059
1247,1009,1615,1734,1358,1045
1087,1366,1422,1253,1338,1005
1178,1228,1652,1621,1005,1080
1010,1013,1027,1219,978,969
1016,925,1219,1135,825,1252
1260,1556,1045,1300,1443,1986
1644,1078,1001,1933,989,1236
1600,1026,1165,1445,1058,1136
1096,870,1142,1330,1524,1624
1049,1288,1350,1497,985,1264
1081,1004,1272,1378,1231,1629
1161,1450,982,1307,1831,1378
987,981,1004,1415,780,1624
1154,1132,1152,1124,1515,1275
1572,2019,955,1023,1335,1084
947,844,1020,1287,943,1058
1025,1027,1638,1005,842,983
