Business and Finance,Data on the monthly revenue of different companies,USD,normal,horizontal
PrimeVue,SmartHub
40816,40149
36641,46930
30768,30438
85609,18103
40843,64124
73287,55405
46647,53274
40034,52214
50947,54144
46733,38989
51646,19186
43231,40084
73157,66538
25498,38050
36817,55652
56685,39038
19255,23438
39149,36542
49447,57093
37155,37136
48212,45140
42310,37319
42684,54168
57428,36069
44847,51266
35092,48619
57075,22727
56278,61602
51006,46772
31210,45268
64195,49249
29061,34745
29304,40812
50956,23596
72702,32915
45931,60788
53172,39877
60584,63765
36699,34466
27172,45054
27889,18366
60515,47619
53086,61122
51036,24588
61921,12719
25252,52124
51085,69826
47024,27908
50456,37253
19038,62088
46979,36768
49843,18044
30918,59330
30440,60255
42207,2490
49177,32755
58763,50437
24694,20607
48592,48680
55610,51109
46815,35306
36954,31126
63253,50459
51246,38387
45425,51097
41772,52440
49222,48618
51881,52097
45749,85960
47796,31729
32199,22606
43320,21444
34213,57522
44007,60872
54181,18291
63909,39670
43075,75914
81660,55667
19543,51998
56217,44330
34083,29668
51081,46907
30508,67249
43306,40337
38689,49983
33714,35319
75334,56163
55790,58326
24358,27064
45206,47109
25482,39052
32062,22520
48889,51284
55724,29925
75922,30702
46701,39556
54483,45506
58572,60444
43933,67533
45121,67303
43635,6271
67143,31886
34910,46679
43550,61985
63160,22682
71834,46568
34124,55890
54621,46295
61151,44185
20987,17337
37501,25571
49659,36157
57061,30011
28253,67580
86790,49283
54425,45248
52113,75205
74569,33296
61127,55691
