Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,t,vertical
Tobacco,Rubber,Sugarcane,Corn
7899,6228,8484,4073
7400,6799,8071,5251
7065,5941,7675,4419
7252,5533,6003,4725
5870,5239,7197,4625
7455,4930,6504,4942
7058,5157,7414,4994
7277,5591,5787,4462
7036,5925,7946,4542
8386,5310,7861,4746
7126,6442,8795,4079
5581,5487,7383,4100
7008,5463,7247,4301
7153,5377,6589,5358
7239,4422,7854,5011
6312,5242,7248,4605
7603,4662,7282,3984
7143,4751,7269,5281
6658,6007,6094,4750
7171,5387,7118,4437
7548,6471,8839,4478
8052,4567,8255,4675
7035,5423,8360,4721
6602,5631,7374,4488
6583,5417,8272,4510
6228,5465,7955,3872
7010,4408,7354,4680
7160,6046,7523,4632
5690,5092,8389,4115
6619,5773,7036,4642
6259,5189,7632,3790
9108,5471,7649,4945
7613,5065,7144,4206
7010,4271,6410,5334
6867,4853,8364,4575
6979,4933,6970,4307
7826,5987,7388,5112
7820,4738,8098,3856
6328,5418,7040,4755
6762,5600,6611,5204
7429,5965,8297,4259
8284,5367,7289,4328
6764,5341,6943,4011
7292,6241,6969,4847
6868,5818,8464,4761
6704,5399,7700,4718
5762,6238,8447,4558
5797,4338,8546,4338
7251,4245,7617,4649
7426,5139,6862,3913
5955,5132,7428,4139
6166,6141,8141,4950
7670,6426,7847,4249
6690,5086,8636,4524
9142,5302,7651,4156
6041,6497,7532,4785
6908,5441,7259,4940
6845,5640,6118,4693
7843,5294,7174,4360
6032,6430,8007,4369
7062,6703,7767,4547
6872,5629,7618,4555
7643,5107,7657,4652
7499,5694,7896,4894
6699,5201,7594,3853
6835,5523,8221,4732
7642,5904,8046,4574
6466,5303,6242,4690
6889,4893,6983,3803
7982,5461,8238,4773
6567,5882,7557,4399
8118,5046,8548,3709
5680,5625,8180,4527
6237,5051,8648,4440
7736,5068,6227,4058
6665,5518,5923,4834
6563,6271,7795,4863
6243,5505,7906,4396
7162,5180,5056,4674
6701,5516,8824,4976
6366,5516,8875,5163
7605,5403,7552,4667
6974,5395,7380,4212
6545,5634,7118,4403
8178,5127,8353,4666
6514,5783,8553,4413
7891,6047,8904,4485
6867,5971,8047,4455
6597,5632,9122,4421
7106,6512,6632,5032
5610,5344,7894,4202
8193,5979,5603,4262
6623,4712,8173,4927
5782,5471,6526,4111
7943,5806,7476,4616
8073,5809,7832,4617
6943,5777,7768,4750
7117,5658,8118,4515
7136,5780,6066,4783
6973,6128,7899,4520
5878,5624,8874,4489
7073,4944,7865,4854
6438,5885,7782,4605
7613,6197,6305,4553
6873,5145,8310,5275
6826,4582,7975,4941
6056,6892,7390,4238
6607,6332,6847,4167
6881,5532,7080,4565
6083,6331,7617,4271
7512,5915,7803,4388
6349,5370,7768,4817
6462,5791,8606,3921
7488,5745,9150,4426
7396,6384,8179,4668
6724,5740,8157,4777
6328,5985,8089,4592
6839,5126,7522,4664
