Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Hidden Valley,Celestial Arch,Crystal Falls,Golden Dunes,Dragon Ruins,Coral Lookout
7524,5615,8513,10996,6552,633
4832,10616,5630,9222,4326,4875
6484,9700,12191,9212,4656,5333
7321,11620,12430,11085,5193,6925
6546,8910,8196,10546,4483,8152
11067,7927,7902,7053,7749,5266
6778,10482,12302,9043,4702,3223
3253,6167,3786,9968,4439,4895
6002,4267,10381,3377,10132,8985
97,8624,10185,6067,2445,2812
8929,10962,10985,4459,8419,8808
7686,6177,5913,9544,4303,9721
2696,12186,3356,10341,10953,2385
5200,1488,8394,9571,7099,7965
6191,8105,11058,10190,10014,78
7072,8277,9351,6613,9607,5772
3197,11189,9119,7919,3474,13353
10137,8341,9113,12417,6280,10675
7806,7692,9729,9540,8140,5199
6287,6803,8287,9823,10044,11749
7441,7337,7049,2274,7949,7718
13299,12471,10032,6662,7704,11224
4344,7242,8480,6353,10890,5895
10799,2317,6154,9983,5116,8460
5074,8238,6515,9695,11256,9773
9396,7391,5605,6313,3845,8156
6065,6569,8584,4295,9194,11022
5739,9345,4336,12234,7427,5998
6814,6371,9514,8327,8938,5328
3900,8639,13658,3226,7644,9042
8990,9758,9600,10747,7419,9750
2133,4234,4434,7417,9146,6107
7517,1519,3476,8732,7003,7651
2762,3155,7550,9442,9506,13622
8864,8286,12381,5595,11208,7420
4324,9312,8110,8867,8097,6659
9750,6039,6904,11449,3438,10409
5737,11644,8911,13935,5399,5971
7561,5675,7438,13176,5668,7992
9816,8525,5356,5820,4290,3766
8158,9829,5652,9415,6656,10746
10985,10299,11131,8901,4384,7485
4312,4149,4703,8762,9038,11880
4592,2524,11649,9646,4959,10383
9484,8295,7881,5667,9360,5360
9601,8746,7298,7902,8776,6703
8491,6233,8545,10817,3690,988
6066,3753,9856,7859,6471,5646
9264,6871,7403,7239,11241,6440
4326,8588,7079,5660,6945,6510
6341,10189,9169,11868,8408,8220
5610,6497,11598,8828,6144,11011
7274,5891,6288,9273,9138,11995
9539,6428,9453,8896,7776,13997
5739,7488,6630,10164,6876,8903
4988,3581,8598,8025,4777,5210
4449,8000,6386,6605,8256,5750
10244,6403,11177,9026,6939,5123
5106,8700,12803,9916,1443,6224
6794,2597,4865,5665,8279,9360
9084,9027,10746,5351,5148,8422
11412,9503,7830,9254,9628,10054
8048,7058,6295,5807,6392,2921
5596,8954,6030,9087,9380,7186
8952,8220,14769,9429,5422,7443
10730,6129,5638,7403,6844,4909
6497,6178,6477,9302,7594,2875
7626,11688,6518,9362,11309,11569
9289,13938,4968,8807,10182,7633
6828,9702,8388,13644,12485,7703
2749,11462,7183,3165,9817,7750
10036,5729,6904,6428,6410,5528
10886,7040,4578,9700,5597,10673
9753,8480,5352,9535,3281,8126
5274,9185,3417,9209,7061,3991
5728,9231,5271,7391,12283,6588
8264,13256,11024,13668,8233,12911
4048,9685,6103,9508,10861,10424
10938,6516,10538,10773,9449,6932
6761,12516,11109,6916,7809,7700
8015,7444,6933,4155,8498,4127
10215,7203,8938,8524,10000,7575
6760,8570,9686,13624,7387,8586
9363,9771,9912,8384,9877,7419
6380,12340,12412,13776,11969,11224
4112,4341,8437,7056,11438,14610
4038,10179,10983,5276,9564,7611
10048,5606,8544,9469,6619,6958
8881,8135,12113,6193,12214,10178
8419,9611,1777,4349,5359,10522
7119,10680,5273,5810,6247,11427
6965,6129,8337,4645,7066,4128
9485,7024,7703,5577,4433,11906
6386,2424,13073,9609,7614,6419
7572,4496,5446,5786,11300,3818
14865,13009,4645,8268,6436,8048
10103,11890,10202,11815,8431,6195
3210,7818,14817,10233,12577,10676
9248,5029,8958,2232,8022,11457
8376,8747,8720,9360,8593,6672
8198,6371,10171,9619,2377,5355
4715,10125,8461,10214,7030,11983
9990,7651,5600,9877,5644,5512
5666,11034,4665,12749,5860,6309
3520,6541,3562,9018,4509,10400
10517,10120,6710,11067,3166,6521
3688,6320,10408,2190,6246,7287
8274,3938,8414,5299,7988,10554
8068,10479,7954,8287,6933,2868
3649,10107,6827,5021,12680,7050
8601,9560,7416,9748,9133,2584
10049,6555,9377,6741,8340,9015
8260,12091,11278,13048,10640,9185
5848,6084,9789,8689,8736,8367
6036,11351,11184,2452,6281,6386
7818,6623,3519,13066,11188,8498
5837,10634,9073,6882,13299,10639
10988,6537,9543,5496,5389,8027
