Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,normal,horizontal
Single Family,Beach House
526,310
554,517
484,638
458,392
590,833
500,525
624,625
473,502
447,713
542,869
418,481
322,606
492,365
543,553
644,375
519,477
526,406
488,511
356,692
419,634
536,746
482,788
533,733
454,754
381,652
438,474
552,454
355,522
518,531
445,793
467,568
789,607
520,849
394,412
504,422
428,268
450,331
497,655
395,578
434,460
735,492
429,727
806,347
512,454
660,611
377,588
496,547
352,487
275,512
405,308
342,648
483,572
459,653
529,759
407,276
384,466
698,210
523,428
619,578
382,370
205,463
454,590
661,725
640,380
365,765
363,596
576,333
646,301
428,635
455,313
491,763
360,634
479,638
351,574
487,605
486,430
755,624
461,163
225,357
355,795
571,117
478,720
232,784
475,487
400,332
369,559
498,523
618,749
437,563
249,786
324,747
784,664
223,566
488,433
648,624
514,634
375,313
245,428
524,611
636,510
634,427
617,447
399,406
421,486
671,529
517,777
323,526
595,308
372,495
456,808
722,580
480,578
551,457
433,368
606,638
239,441
675,491
559,566
