Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Emerald Beach,Silver Grove,Misty Trail,Sunset Cliff,Lotus Temple,Golden Dunes,Maple Arbor
16397,14236,9274,11739,6219,18140,11425
6589,6160,4227,21318,16920,7000,21607
6785,14825,6243,8690,13951,10955,15624
10407,5844,9155,7879,8366,6471,6448
21301,9986,16954,14093,11540,16614,4504
16662,11060,23415,12438,7265,6391,9507
25096,8854,8424,5076,12162,15061,11824
12218,8255,12503,21383,15677,9573,8124
3565,13083,17720,13441,7724,10853,11139
4453,4510,8924,14445,8838,8015,5695
13462,7935,9799,7784,7053,7215,6018
4410,11050,13638,10843,14492,4940,9400
17766,4851,5349,9888,5791,11501,14060
11780,9480,8240,21423,4908,12385,8730
6848,17848,13698,10243,12066,20816,4084
6027,14144,9523,9009,26457,10510,9141
21185,5756,8367,11684,8022,5865,15555
9091,4762,7510,7891,12472,12959,17182
15683,7538,13324,9007,13414,9743,16193
13305,6928,18281,16742,5417,4591,5644
11458,15157,4122,10835,7857,10003,7769
11862,35024,7264,12519,4745,11929,12622
31746,6292,9211,8839,4950,17789,14688
10894,4013,18504,6182,16235,7150,20443
5158,8996,6456,10565,4610,8815,4842
14243,7172,10468,5327,8251,9022,8664
2821,21507,12320,14654,15876,11606,8713
8859,7148,4626,10559,8187,9749,13598
5717,9873,8764,7726,13868,5255,6851
6273,6609,23796,4085,4749,6927,5094
14233,12970,3576,10878,12544,10468,13347
10302,15456,19164,7623,5677,27043,9233
8828,14551,4949,8536,19255,23918,4825
3925,22008,3901,6161,8245,11786,6476
5288,20445,5501,5011,12313,13416,8592
6736,8614,5409,14027,6108,8885,25644
15916,4475,11363,20838,12447,17455,8724
6792,3106,12650,10702,11503,27164,4028
11226,11990,7767,9331,3781,8303,4331
8708,16195,5588,9159,15523,9625,12696
10962,4730,30207,10306,12351,5451,7269
20657,5920,12369,16454,7525,8403,10168
17339,5286,9647,11589,11179,3973,5934
9419,15255,12752,5973,11181,7950,13783
11472,13603,5611,5837,15363,22684,26579
15118,3911,9618,15644,10475,14057,5362
17040,7404,11747,8293,6198,8591,6784
5988,9788,10180,18823,12518,6785,8215
10940,8279,11087,8178,7281,9153,8855
5898,4651,8659,6382,4513,4922,28987
3734,14596,5754,9064,9274,4201,7961
8483,8981,14153,14470,7289,13085,10561
5728,4405,9796,10986,9486,11188,4005
5770,6022,8994,11747,6297,18891,6233
6626,7041,10271,14730,5559,10417,3879
14639,9561,6836,5432,11411,7795,8332
10868,7654,5449,8605,8578,7465,6850
5630,8471,21773,5943,9036,12857,2965
12124,10701,7389,4363,5217,12111,5116
13597,9033,6783,9623,8985,4742,17206
8300,3987,6700,5709,4332,22646,10432
12582,10174,8854,16889,7786,10740,3047
22798,5950,11807,9383,10766,16282,22391
18094,15129,10945,13258,15922,13330,28066
8801,8706,13184,17056,7832,9716,9036
7896,12921,9565,7247,8744,12505,4404
9433,30875,11046,5791,19317,19019,11408
14319,19578,10158,10889,14976,32448,19473
12167,20656,5354,22528,5007,12114,8697
13387,18206,10221,6552,9732,23637,12198
33738,10694,8532,4772,14584,16997,6523
9343,6523,13342,20322,7154,7684,13801
9718,5632,6988,16314,5631,11051,4889
6143,8916,9997,7074,26344,14576,8580
10765,12468,11406,9332,15118,4673,6772
8380,7529,17528,8793,10324,7088,21175
7176,32059,20206,21878,6682,8186,9169
3176,24064,8353,23707,10589,5248,9361
12454,5069,7283,14456,10747,22056,21127
5849,13140,14435,6989,8850,17484,10393
24171,3846,8618,5583,7316,12783,8207
3601,4432,25781,13255,6824,8907,3977
21288,9762,5167,18422,7728,8421,10809
3147,7816,14590,12066,10411,28824,7467
42868,14513,14173,4768,5643,21970,3049
8354,14022,6081,12327,16221,6425,5416
9876,8141,6186,7266,11989,7574,15370
5841,10536,12567,15242,8945,14666,8545
15429,7192,24370,29589,10342,19571,9993
10546,12021,16745,5989,17511,9175,6119
14003,15529,37258,11781,14363,6696,4905
11279,6029,21322,14929,23180,11582,9452
11030,15663,11747,9132,5675,9453,2881
22728,6797,8713,7811,9546,5447,14823
19043,6077,8119,18144,15900,23200,13875
12739,8290,18854,22498,13384,19478,9410
7665,4834,8177,13145,7242,15639,9890
10839,5640,9818,17836,9208,26806,4070
13244,3331,7160,4818,6024,9856,8291
15632,11462,12388,5520,8343,8119,18146
7378,12216,10708,4378,18037,5424,9400
21798,12251,3923,6938,25031,8549,7212
10353,8048,12554,15393,6024,4512,8244
3354,13379,12759,7802,9569,17366,6879
16369,13007,15908,4369,8841,14514,8278
14952,11978,13883,7629,13416,14207,7747
7221,7517,10005,7329,6936,7519,9030
19446,12190,14273,18855,25807,5050,10704
7177,8685,12667,11639,5490,27364,10690
12704,8951,9183,6639,13652,12290,4882
8907,11748,15507,4628,11938,9123,4287
10173,13785,14889,5695,14082,7771,11806
7852,20628,8162,26351,11858,16288,15046
6516,15002,7606,11852,5827,21363,6741
17343,6877,12995,8680,16235,20295,9807
10383,8871,7185,11904,11841,11648,21381
3846,5822,7967,20067,5777,12918,7083
4879,13460,13808,4812,12279,7822,3852
17028,17939,9249,12423,5501,7070,16428
4360,10183,29603,18375,15704,7591,9593
