Science and Engineering,Research and Development Investment by Country,million USD,skewed,vertical
Brookfield,Northgate,Westport,Quarryville
715,386,275,1531
866,282,158,1172
486,965,156,333
258,1279,642,1118
266,910,357,907
677,1047,564,763
404,632,332,939
439,661,583,526
616,586,795,741
885,909,416,640
990,422,522,692
344,275,319,907
325,309,789,755
336,754,358,857
897,854,901,630
927,800,328,176
864,608,475,517
310,1066,768,1081
547,928,596,362
352,567,466,429
512,240,390,666
212,802,193,583
277,689,184,289
1539,1212,537,950
1183,209,380,808
458,522,414,856
303,516,321,404
656,1462,416,1170
407,377,373,913
880,668,524,429
568,1378,334,1185
1253,921,324,359
922,293,408,402
330,496,248,670
479,859,263,1205
440,1187,331,338
536,504,596,379
828,877,325,1021
879,1396,201,353
459,401,415,1271
350,400,392,404
882,824,596,624
504,884,398,993
1184,863,737,1098
939,363,369,900
1124,697,746,534
266,1171,278,403
827,1212,640,605
640,849,647,621
168,502,561,339
443,502,193,1157
276,236,334,464
237,1132,689,646
483,486,387,721
587,701,554,996
653,838,440,228
556,464,502,776
810,682,536,316
342,439,380,1226
604,1019,438,513
956,430,788,911
777,557,1049,684
732,1073,501,652
498,510,447,1147
1331,993,321,1580
497,919,219,282
289,270,312,312
567,500,377,486
289,669,842,935
1047,848,745,1066
632,591,435,414
495,422,541,688
575,1108,504,648
477,364,574,1060
939,442,806,490
1045,515,278,424
512,376,757,554
979,394,684,1109
353,482,143,849
687,328,789,969
403,745,464,209
751,420,593,999
285,794,797,624
459,914,184,491
896,338,685,1096
524,278,139,398
641,794,183,206
626,417,327,1022
765,1138,605,663
345,316,782,430
964,346,548,475
670,463,380,366
681,1348,757,788
428,461,162,744
576,655,316,525
1150,1229,354,262
999,310,1111,337
580,834,629,876
1102,447,272,881
978,871,194,884
576,388,464,237
792,1036,468,341
669,980,364,994
1138,380,257,1053
870,553,314,1430
813,1426,818,839
1197,401,232,370
684,474,574,1357
496,1765,595,624
452,1274,550,549
816,679,480,1006
679,643,452,193
225,952,642,485
316,985,591,1043
707,794,756,1136
645,439,247,286
978,863,289,534
836,1224,189,171
