Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,t,vertical
Fading Light,Wild Bloom
626,474
698,433
677,425
637,480
658,462
663,513
723,587
729,570
628,551
537,502
602,356
659,525
507,489
709,498
587,480
526,537
642,589
668,425
680,562
855,450
644,621
628,499
697,659
786,551
678,588
707,488
663,587
530,513
616,567
575,419
592,548
670,458
747,532
884,463
543,624
788,618
645,623
819,596
683,531
852,444
692,506
694,546
587,586
603,462
533,629
707,398
643,526
856,536
747,473
810,619
600,440
586,337
638,509
499,366
819,450
661,531
513,436
668,657
849,460
539,453
526,626
526,474
712,561
677,556
785,461
743,527
640,525
606,463
582,479
715,477
489,457
691,668
710,555
824,608
805,529
341,593
641,513
700,515
487,549
642,605
709,528
675,538
734,555
595,505
762,558
667,562
521,310
579,565
745,388
610,499
764,562
565,525
702,483
762,501
603,449
554,495
715,252
686,511
632,504
661,424
413,521
734,538
680,539
845,450
833,623
561,497
707,580
627,487
613,544
706,446
589,502
656,530
661,570
597,498
630,472
659,589
501,405
760,453
