Science and Engineering,Research and Development Investment by Country,million USD,skewed,vertical
Northgate,Zephyr
432,855
379,559
670,652
294,610
1058,652
874,414
876,1336
220,1330
243,393
431,635
492,304
1010,693
923,1167
1336,1674
436,454
313,636
352,830
245,297
408,456
218,568
1019,1820
229,1311
540,340
854,182
363,577
622,222
304,414
492,958
1330,936
924,312
976,655
1162,271
271,493
268,1293
417,1116
421,343
867,694
631,428
1315,1215
662,514
508,868
314,522
238,990
552,1028
650,308
388,218
459,1731
704,880
1378,571
734,312
465,932
1117,280
915,489
614,328
806,397
396,280
252,372
1167,270
1082,526
648,261
525,442
731,484
315,225
679,1644
854,745
252,482
992,304
504,1054
819,1044
453,816
879,321
539,388
627,687
558,273
1245,612
756,510
285,334
409,1297
721,191
545,520
544,595
1060,457
409,645
383,179
484,568
792,363
630,1050
810,746
443,635
1315,216
422,236
661,297
217,534
543,421
395,761
632,200
827,419
353,356
179,869
680,490
611,786
202,467
1340,163
1164,767
834,787
1060,1750
337,260
527,578
1016,223
652,224
248,314
339,817
405,520
1005,296
481,749
401,493
492,286
322,962
