Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Crystal Falls,Sunset Cliff,Celestial Arch
10494,8130,3603
7615,9942,5743
10118,8582,6242
7232,4358,4313
7369,6655,6730
6199,7071,5618
5504,10783,7496
4405,6163,8921
9241,8499,8252
5548,9773,9580
4655,10801,9681
8683,3930,6380
9209,4277,8899
8872,14025,9903
16453,10324,4650
6113,7135,3228
14151,3925,9526
12629,6606,5065
2720,10638,5953
6227,5596,593
8311,6840,6459
12550,6956,7861
10021,5073,4965
8577,6349,6532
10281,11820,210
6086,10452,7401
3447,12372,5801
8587,9591,6062
6524,6952,4808
14510,4666,9411
7335,9553,7628
502,12346,5212
11708,4506,8109
11152,5440,3276
5980,6094,3490
9052,4721,4648
7159,8395,8526
13652,11057,4930
10842,8891,4933
9287,9378,7757
7475,8332,10522
11892,12794,10867
5622,7748,9987
10675,4626,8348
7850,5274,9566
6947,5564,7259
8404,13853,9587
5757,3299,8249
9087,6877,6679
12230,9541,4458
6584,6839,6887
8899,4513,6260
6746,9138,5486
6922,6799,9940
6140,8500,5882
2835,5278,3820
4773,9382,9530
9493,11133,10299
3239,8137,4641
7125,9536,6372
1364,7095,7700
10860,7475,8116
6930,10268,6039
11729,7781,11248
4889,11312,6888
5890,7712,6589
10444,8303,10655
6880,3637,4797
4591,10757,8938
4710,8685,10233
9861,2548,8564
16311,8116,7212
15761,7390,6540
11472,7522,12710
10690,7830,8341
7414,4536,9347
10810,9286,8118
6990,6933,7556
7559,9144,11232
9375,4640,8635
8579,5986,10704
11389,11752,11691
11275,11397,9199
7764,5596,5188
12173,9398,8735
10985,8948,2983
12871,7937,7360
3534,7088,4631
2088,11568,3231
1267,5225,9774
10947,6478,11101
9472,14050,6048
2653,12054,4924
8854,2665,7628
8703,5599,7448
6093,9802,5776
9022,2971,5601
9194,6710,7791
7612,3018,9472
11414,7768,4827
10013,5955,8176
12354,9922,6131
10076,14221,10501
8298,1250,7738
12652,7208,5980
10202,9140,4428
15758,8273,6172
6043,402,3642
8985,11521,7565
14540,6918,7667
10772,10525,7324
3305,6309,6645
14333,11904,8986
8046,5386,8972
6266,7548,7677
7274,10256,5729
11166,9962,11945
16175,5002,5634
10811,5567,4245
