Business and Finance,Data on the monthly revenue of different companies,USD,normal,horizontal
NovaEdge,PureSync,EcoCore,UrbanFlow
76236,57852,52162,45600
41530,64243,63460,62343
50169,59230,19343,57386
58435,55777,85895,63255
54274,95344,73137,71409
77123,64837,69475,68542
48590,61772,66098,64317
69158,28874,59000,56756
69912,63285,76114,31892
60376,52598,44089,65062
67544,61363,68872,51839
64080,73358,72102,54706
49571,43359,56528,19672
38344,56375,66173,46901
48579,32759,51969,53156
57350,42522,46436,23893
48244,32660,78036,28131
56402,39546,53391,23408
58331,50751,67334,53789
49408,48709,81609,37855
45681,52534,48182,23298
39674,43040,39531,52189
62765,45989,37093,50545
37953,73727,47058,35614
62237,47714,60482,37476
46726,51215,73356,66628
44082,59148,53981,48692
51112,49736,58641,69810
58877,42601,53915,31252
54750,42933,52294,44542
70508,85267,36941,32702
65953,32332,49065,25693
71813,64945,36625,53478
68048,32586,87789,51160
67160,53917,14091,37598
52260,47957,46811,56801
57268,46734,53846,63001
62744,44386,64844,12075
60326,57356,56777,26698
35780,41888,49455,48445
49708,64039,74518,36025
47280,44094,63104,32453
67941,34006,58610,52978
50469,74885,87284,36413
63797,53549,82594,32129
73343,68379,58112,49780
66540,55973,50569,39728
87240,47053,70034,50954
47054,66697,80639,37632
46464,58082,38858,18541
59599,62120,45350,44964
37181,65837,47114,9629
53794,50996,53999,66849
55010,44118,62719,44986
77520,46621,88571,22973
67651,43910,56218,68486
69942,43498,60691,55830
72960,57188,65359,41518
62867,67537,58276,47277
76234,46802,39848,56730
44047,42869,75495,45283
28822,59994,74172,32337
41880,55487,59201,60271
60420,45887,63626,73314
64508,50551,69571,43763
9626,47232,64295,56616
58739,76152,45646,41872
69562,58610,60597,63251
35691,53159,49437,54442
31845,59950,50974,46544
45540,42297,61695,67262
34249,64463,64274,40157
44881,60168,50814,63000
37672,56927,34116,56326
47096,97586,62130,75916
54875,52323,66634,31402
83020,78513,60721,26324
65784,55476,71814,39708
83913,44403,74632,52476
50678,67984,84704,61639
36678,61170,46563,51407
39427,57252,61415,48794
67303,36273,71565,31561
60245,65548,54712,42804
62859,65621,72464,52170
58360,26433,51338,46489
50502,47703,54484,48471
63890,66990,77442,49765
50577,42105,44595,48095
44835,46230,65382,73765
42268,39812,77096,83325
68758,57448,34218,40614
55812,33798,62681,29255
55246,29239,48277,46929
56353,54502,83976,20793
61234,55719,47861,32496
68087,68679,41217,82698
57884,57895,56414,73697
55456,62902,65015,65541
58296,44275,54892,48942
52559,34777,60514,29893
44247,65129,70368,58606
56568,58382,80759,67852
40952,54271,63095,45781
84548,69424,46076,45000
52166,65285,41324,46121
63343,38903,54492,48238
38222,35209,39832,40178
42458,64074,53867,62631
56164,62272,48707,35569
50297,52852,82968,13263
53125,47581,65776,38372
52621,69389,59606,58209
95119,49690,43757,45717
59086,74331,51170,44812
70522,59372,40617,47758
65544,60609,61893,40676
74914,37686,69198,29223
56353,53897,48072,7340
39603,65127,61829,60209
