Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,skewed,vertical
Co-op,Duplex,Triplex,Urban Loft,Townhouse
489,774,745,452,376
724,1006,646,477,917
489,1018,932,462,629
564,890,853,557,725
773,447,397,619,364
1054,410,522,578,463
685,776,1199,510,635
975,403,460,552,332
743,725,1274,495,674
1057,426,410,809,423
523,563,924,315,536
638,375,528,960,543
572,553,784,515,349
890,735,528,538,1371
774,962,526,411,490
448,1438,1007,517,670
387,560,730,1670,562
532,771,1291,1437,1238
932,572,594,407,616
906,911,425,593,380
626,558,533,1284,408
348,449,406,445,747
475,933,694,756,404
438,375,565,609,667
880,1304,416,661,592
671,507,632,429,946
762,619,573,562,729
391,748,550,341,412
795,393,1071,365,628
464,466,613,387,708
615,381,721,964,317
708,488,699,773,345
838,1062,815,559,666
521,469,789,765,493
460,735,728,799,589
515,943,460,502,1158
658,760,403,549,910
1012,910,800,541,593
923,1030,1355,1452,462
579,1059,860,346,991
622,741,297,560,634
482,492,520,1130,386
445,428,502,330,631
472,431,894,709,600
395,1219,769,315,713
473,600,470,422,766
531,592,885,575,521
599,644,893,1244,595
1111,874,811,667,581
834,899,677,822,379
435,535,875,894,704
800,1108,909,750,355
709,484,543,612,606
495,746,778,455,338
849,539,773,819,505
475,715,851,812,839
948,597,635,1145,755
494,1059,678,552,624
565,695,396,736,493
1071,682,438,435,554
477,1193,405,403,617
602,431,621,627,960
507,561,702,887,435
529,802,535,493,407
912,743,439,1385,946
1055,1287,1127,654,833
395,483,481,682,719
442,836,396,981,399
392,805,672,1235,626
759,699,701,448,557
716,431,514,746,779
1386,604,531,521,528
1436,856,717,647,966
502,378,452,524,799
874,776,825,676,433
865,840,611,603,1257
587,648,476,783,426
376,740,641,443,498
383,488,420,334,787
1255,591,474,500,1021
568,1004,582,662,363
513,505,606,880,601
1296,721,837,770,549
833,1141,1007,698,367
795,639,946,581,393
505,421,516,1192,840
517,1006,398,619,1246
824,816,1182,770,374
718,1303,1120,524,289
353,582,736,852,474
443,658,518,902,869
641,610,510,1099,802
791,586,493,637,429
1327,473,896,647,1127
408,501,868,503,470
827,599,533,1185,746
626,531,569,487,432
606,441,721,577,521
637,1006,879,517,780
689,966,658,443,788
466,803,889,428,468
994,693,329,398,555
895,664,603,587,418
337,718,776,757,666
670,847,825,441,385
798,1363,1030,712,554
770,422,460,464,611
807,990,406,519,631
396,486,854,674,434
822,614,606,357,499
733,523,624,547,425
742,511,531,619,993
577,548,411,700,355
816,517,783,941,496
942,818,942,550,1324
924,1039,516,745,396
486,513,610,386,481
761,892,697,536,555
