Retail and E-commerce,Daily sales statistics by product category,thousand USD,t,vertical
Baby,Toys,Furniture,Garden
299,266,181,239
337,276,217,213
193,266,391,101
51,278,339,169
377,289,292,154
103,263,333,175
93,128,338,169
113,264,304,203
257,278,214,66
117,372,225,124
126,334,305,183
242,263,256,176
272,285,277,172
274,315,202,189
217,179,263,99
35,253,201,117
75,300,191,118
198,226,144,165
206,274,150,182
126,217,192,185
312,323,307,205
184,272,218,152
218,275,241,177
310,275,309,163
159,243,112,150
278,306,223,244
61,292,276,230
283,231,247,159
315,260,295,196
269,318,303,222
291,348,283,220
181,354,203,217
304,299,238,214
194,321,155,197
125,305,187,166
272,265,331,242
23,115,255,169
321,350,237,216
248,283,214,203
320,344,250,230
364,229,289,125
154,226,217,188
52,354,281,177
301,381,138,62
193,161,1,201
128,289,385,234
181,141,206,224
191,280,245,202
120,338,207,167
175,302,237,183
263,302,112,123
246,288,284,97
311,268,283,213
304,284,266,194
241,232,236,233
223,329,316,141
203,339,330,132
165,320,287,138
335,321,311,132
185,272,234,169
352,356,249,226
270,307,243,162
271,223,396,97
139,266,192,84
224,291,257,252
233,337,340,259
325,285,269,148
381,362,228,104
159,278,188,243
131,203,247,167
342,284,201,195
211,288,334,241
255,310,259,224
330,310,204,276
394,300,184,118
267,288,188,187
355,377,216,224
285,313,117,292
324,278,238,138
172,261,236,211
83,325,202,165
266,256,302,255
49,284,383,175
303,229,291,197
348,314,98,76
236,356,321,182
47,258,186,132
398,180,217,142
241,207,222,179
334,307,252,135
158,267,311,241
170,205,165,228
192,179,269,236
39,232,229,290
181,335,348,267
32,341,269,150
171,320,75,215
395,329,287,267
240,282,27,130
198,303,256,200
226,378,312,162
198,291,233,166
234,253,194,197
254,374,283,122
240,46,212,42
212,337,379,216
312,272,232,268
272,272,271,176
280,200,271,242
302,228,251,287
300,331,343,227
309,228,125,116
303,357,351,231
262,244,303,196
261,248,217,180
271,228,97,249
203,325,245,187
