Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Emerald Beach,Maple Arbor,Coral Lookout
9838,5119,4085
12636,11546,4102
12197,5939,9704
7957,10266,13105
8272,14556,8317
9767,5698,11473
775,5146,5146
11006,12035,8576
6880,8335,7314
4835,8988,9697
6150,7100,10206
11320,12313,10838
4400,8096,7175
8495,9835,8757
9436,8228,5603
6239,10657,3429
3058,5910,8204
7829,9793,11444
9941,2054,7504
7070,9233,8658
8413,6808,11097
5666,7892,14286
11080,4233,2170
8123,8084,4077
7406,15375,13353
4929,12093,6387
6809,11828,13007
4401,7587,7584
9202,9925,8122
8585,9410,8586
10630,4930,11621
10697,11616,10599
5981,5188,9308
9080,9084,7989
10445,7025,12149
4811,2892,5869
4669,6426,7892
9821,8094,4516
8001,5224,9360
7060,11772,9643
7435,9369,3294
11751,8275,8602
6094,12356,7324
8160,346,12490
10412,9544,11236
6050,11680,11237
15625,11114,7033
4618,12543,7802
8166,11492,9244
9487,11888,6245
9094,7607,13588
10327,5566,3805
10290,11584,11161
10763,13869,6633
12583,8715,5849
11126,11092,5514
13065,10397,11041
6385,1396,6209
9430,7151,4129
7571,3827,4705
4275,10555,13387
9775,8184,9129
9581,7969,571
10827,7055,11986
3576,8004,12654
9824,4883,7625
6108,7666,6356
8154,6648,9670
6849,5649,2748
10122,7752,5522
13580,11867,6860
11782,10489,5742
10694,13145,8389
7155,13912,7694
4206,11565,11558
6820,6216,6637
5836,5338,4497
7627,10383,11651
12003,13181,8912
9105,3110,10544
5121,10034,9972
9689,12449,3011
9598,9501,2302
9049,9811,8916
11312,8594,4520
15234,5562,9315
7563,9901,10521
5898,17018,6320
10322,6664,4317
13891,9308,6351
10750,10716,12267
5608,4245,6776
8377,8541,3677
9389,13995,2849
9723,7560,8849
8537,5198,5218
6719,7545,6875
11058,7222,6042
6086,5014,8861
8384,12707,10863
6425,10784,14675
12449,8205,9636
8577,8965,9858
5712,10412,9144
9493,8608,9572
8202,3610,1929
9412,5155,7734
11965,2712,8602
6983,12992,7510
8752,9985,6246
7579,998,5988
9292,7128,13691
6135,12791,9491
4267,12546,8702
9305,7374,4736
10688,5658,8250
11022,6151,13053
6516,8882,1665
6192,8636,7936
