Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Pizza Restaurants,Food Courts,Italian Restaurants,Cafeterias
765,338,716,370
587,325,311,441
1166,400,266,601
213,348,897,622
225,205,985,538
556,896,534,721
594,317,1102,1206
687,577,515,634
834,301,485,544
498,488,142,330
1156,233,1106,1011
1163,476,1157,829
1200,922,676,392
295,661,873,959
775,571,339,749
931,172,289,504
254,450,1270,628
768,1226,248,966
1347,958,560,310
561,566,753,954
1061,261,1693,936
1217,793,483,1077
659,798,351,866
854,1005,384,637
580,241,191,677
630,412,712,682
475,803,539,946
578,304,1255,927
679,432,396,767
704,265,451,479
352,569,201,1252
1201,418,318,541
979,458,509,717
553,621,218,649
287,535,501,395
1173,689,437,1087
1189,403,369,626
625,246,352,661
571,189,780,399
1183,256,768,166
783,716,343,337
454,295,692,178
1000,331,221,140
1915,726,1152,460
574,351,759,568
796,657,383,704
538,648,407,306
341,561,496,461
426,464,501,1286
719,195,955,453
297,1194,424,596
274,538,351,430
344,449,290,515
1108,614,479,1535
768,355,348,883
747,391,416,715
1876,823,266,762
1333,263,493,669
408,417,525,1253
949,414,1291,480
619,545,191,842
452,409,384,498
399,331,685,578
728,430,632,771
395,1162,336,517
534,822,613,1706
1514,477,561,600
874,690,549,703
638,324,407,1803
1067,263,326,1057
1052,389,484,905
443,651,612,851
529,624,755,256
768,569,341,626
890,601,1251,472
185,294,400,675
447,442,422,195
998,569,134,1031
1212,559,499,1371
1421,278,333,658
320,601,336,445
640,260,373,314
453,740,756,1177
480,315,883,1017
430,273,188,337
1643,1379,508,331
1007,483,541,315
768,671,200,1485
336,405,305,842
808,1279,387,535
718,652,354,1177
1035,809,467,686
502,735,677,680
398,254,640,485
1478,756,344,439
1719,553,494,406
530,986,324,1652
419,506,229,626
1067,484,864,1088
297,603,1114,629
545,619,1046,842
348,305,235,938
656,499,506,491
1095,601,186,823
700,807,689,1039
304,380,306,181
1289,1411,586,1341
1154,282,487,771
619,576,407,463
753,885,824,1115
492,746,616,388
742,687,499,951
474,430,647,583
543,751,306,297
1122,441,353,535
726,565,357,382
1420,544,255,639
522,416,665,350
