Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Fairmont,Elmhurst
30440,40185
30540,74362
34804,79564
51152,53009
50888,40673
31391,32335
55483,63339
44107,46483
45409,37370
80194,153291
72302,87500
49706,61131
53568,151184
65608,72470
50266,48790
52987,37888
64068,62783
47889,120438
63608,71008
86309,52003
65653,63667
32885,45087
54869,76506
69982,98767
62656,27748
66001,87507
67418,151192
91757,48190
87251,49418
46566,43405
63786,55980
48802,84329
31396,42440
61517,55767
111596,159346
94628,60601
62931,114395
74176,77490
60205,29639
38522,112903
43820,60703
62769,39345
44686,53541
92574,50521
44606,95228
81045,83558
80410,122168
63934,58625
37864,89239
81972,29932
27931,108261
48544,82161
40961,84333
106444,59155
71974,68354
49855,42995
65630,74696
63070,97178
80537,71625
66877,60078
41991,48980
48764,86367
23752,110650
31503,49968
73814,86758
58112,62064
109438,68157
66096,96194
47020,61799
36043,48111
103077,84833
49973,51040
37269,69371
53712,70753
39182,63770
59736,50764
44376,65655
49716,33385
82040,77712
92692,74680
99693,80407
72999,141185
63381,51989
63123,33107
69251,104852
57067,45393
65254,68105
81731,44550
37079,47285
86331,113138
42022,73638
44411,75634
59222,52879
32917,108236
57239,132277
93484,42471
35190,68330
50573,69917
43256,90663
91536,75620
51468,57589
36588,86361
43270,112780
50414,72504
36776,114565
56191,129788
62826,54762
77825,91460
62898,67075
63577,55069
38068,125478
66664,70666
76825,49244
73694,84942
41518,59681
48618,54936
64540,42745
61020,80869
