Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,skewed,horizontal
Oakridge,Mapleton,Rosewood,Westport,Ashford,Glenhaven
389,1622,498,796,640,1733
515,595,1581,1315,777,1758
427,715,684,1039,920,1234
472,647,1127,1160,587,1522
673,732,1392,801,786,1197
396,795,891,942,701,1057
462,915,512,1391,801,1900
522,1790,578,801,961,1514
585,1860,2340,769,581,1332
462,1268,2182,1028,676,2410
431,1729,1913,861,639,2220
435,554,1616,881,684,1643
748,1853,1233,1122,982,1317
355,988,716,853,990,2062
402,1007,2569,871,1376,1387
335,553,2580,1108,1309,1126
730,916,1401,1268,512,2176
443,507,1972,933,885,1331
607,913,1022,1098,631,1591
374,1563,924,1217,600,2113
378,1021,1465,1082,961,1593
459,778,852,1427,822,1783
618,1362,1782,1057,1182,1728
338,1106,1297,870,686,2246
367,1060,898,897,1030,1409
745,763,738,815,856,1874
543,1443,1534,970,1509,2362
563,923,1138,1137,1214,1361
524,734,2457,1215,1429,1455
547,1503,1774,828,561,2379
379,1333,2302,1128,803,1919
530,1036,523,733,1007,1739
409,1418,788,844,619,1494
438,1469,1295,1051,1147,1136
650,1969,868,840,1393,1429
432,534,1780,858,680,1576
408,802,1157,1112,703,1275
362,1369,733,1225,669,1086
491,1022,799,1486,860,1464
393,1566,1175,792,460,1062
570,1698,2264,765,1010,1472
368,1092,1390,781,642,2066
438,1521,1113,833,786,1699
512,1678,617,981,930,1637
466,1106,2512,778,653,1328
549,781,630,917,724,1901
467,1104,985,1147,812,1491
460,1166,758,792,665,1122
616,2736,1052,1213,796,1428
438,1853,1937,820,1028,1686
662,645,847,864,875,1594
628,900,1529,746,872,1625
458,673,1103,899,510,1204
685,1050,2625,826,922,1691
535,1145,947,932,764,1512
360,628,1046,842,740,1267
579,1140,736,1241,1049,1365
542,925,677,878,1102,1736
424,1406,592,921,1159,1655
558,1839,1817,1018,1042,1634
567,534,2053,1405,1465,1675
562,768,1278,924,795,2342
480,999,623,891,1710,1814
391,1223,654,1496,939,1261
429,1279,2139,905,533,2050
401,1150,1578,1054,854,2368
617,1978,711,1073,1118,1688
509,1231,880,948,951,2166
460,1490,2109,876,568,1254
457,1426,1234,818,538,1632
410,1160,1869,1035,1127,1852
483,1195,1090,1015,789,1194
656,888,617,999,876,1765
442,728,1211,751,1269,1367
483,1512,842,1173,1044,1707
423,1097,663,975,628,2115
613,1940,3647,1067,1169,1150
410,742,2069,1461,1146,1634
566,1142,3217,936,1852,1319
706,1386,1261,798,1162,2085
603,1312,1999,756,1052,1558
449,810,1108,1133,849,1336
467,1160,1217,913,1498,1315
371,871,1531,1134,972,1364
575,2476,1148,947,721,1187
533,1026,1104,734,712,1365
564,1683,1561,1212,702,1512
557,576,594,813,569,1876
358,900,1418,1163,1295,1899
551,2103,736,1050,923,1891
575,742,1134,929,925,1319
646,863,613,1238,1407,1506
545,1114,1335,964,1144,1446
784,647,605,978,586,1421
450,1460,1107,938,730,2330
549,2038,2824,810,809,1682
425,1413,2672,847,1176,1947
394,700,1226,939,503,1394
562,1559,1453,951,1319,2163
532,1425,729,792,550,2061
559,1009,961,864,723,1565
555,2033,2850,1278,976,2528
531,1986,1331,866,1033,2051
391,1199,940,979,1071,1342
611,1992,1005,752,1260,1847
484,2408,1226,897,903,1719
460,1926,1421,800,860,1744
760,1567,728,1072,651,1908
486,2101,828,851,542,1521
368,1100,1203,932,703,1512
360,804,2229,944,1005,1971
590,876,1022,960,714,2303
656,1165,2202,1044,1062,1603
378,938,2337,970,797,2013
719,764,946,735,1161,2125
419,975,1326,1033,535,2076
547,2219,3576,947,889,1277
360,1513,664,1012,775,1898
