Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Glenhaven,Quarryville,Oakridge,Elmhurst,Lakeview,Springfield,Zephyr
63091,84823,65614,78193,64145,24749,28385
37224,42965,28146,80883,82885,39026,47557
33071,59202,38403,104311,45050,103926,40608
48625,51336,41702,66439,75143,37027,35609
29345,63244,50514,25341,62076,69464,33386
61087,25417,43863,46432,68704,27566,40531
49073,51789,32171,31201,30699,61932,48891
37878,37367,73456,46554,66472,42158,26682
26532,36981,35676,44659,48952,47073,31127
28314,50456,47688,38995,67828,34308,33481
30318,38582,35286,86816,133549,24218,33182
55526,69823,52584,105722,29664,59834,68780
49871,118900,45151,54871,106074,38033,68204
76648,32780,47809,100420,37434,34651,25786
39498,90504,30017,58691,85491,82440,34444
66643,87120,59715,99202,28350,25622,89620
50159,46048,39529,39254,49505,46304,36265
83375,66269,60750,40770,54920,29345,25816
59996,30469,50043,71884,47577,60352,19641
38671,40549,80942,53873,121464,26889,57214
40318,104926,28072,67364,42177,39737,97164
31770,66682,37484,52410,79434,71967,61089
28807,121053,37414,55082,41769,69142,49863
63175,34967,55714,42857,44331,43440,74888
47984,73468,32648,69293,72692,33786,26637
57296,37910,33130,91535,68024,44184,45665
44980,80743,32800,26688,41151,47647,27916
92076,88495,74134,54666,36385,24938,35311
96129,65382,38417,32826,86195,38057,84001
74129,65479,42065,37688,40171,67905,63069
49563,97435,119100,33355,51954,23574,67448
89468,91095,97912,42217,79032,30368,40052
38786,35651,53989,48104,82165,36523,64168
45363,26937,68326,75187,49021,54108,46495
47327,57198,59079,32112,29614,89737,37989
43445,49253,76646,27879,94594,28208,46413
36140,36616,58213,70197,53638,62187,25308
36665,74752,84391,69883,65906,55996,35874
34703,51631,69951,24391,43909,25906,42784
44826,25628,32416,64987,65115,72115,64305
29158,32981,37841,100092,41904,53561,32900
31321,64184,62243,77010,68074,37886,25462
21337,32440,50882,60757,29881,86887,52789
29898,27924,57746,65398,47385,54122,58329
59186,61446,25034,67214,46882,68460,32726
42468,36950,58626,60638,75546,49980,72862
60735,61674,54000,43322,74882,60993,54188
45396,75991,63622,32507,66004,88164,46889
46491,54541,75401,97335,66930,39631,84434
43024,40413,55740,33087,89448,41197,37515
37285,82287,57320,46734,73550,40581,41181
88376,67765,68314,35325,70754,52799,117514
44363,88380,49001,41455,33815,26106,60888
27192,49799,59565,106328,33696,45068,51074
42150,62995,56499,47726,50507,63021,41986
64991,43364,46503,57891,97253,66442,67245
23159,44487,29265,50319,47894,48394,61020
35342,40029,42298,46938,44746,98838,30987
94639,29815,38170,47700,46502,56920,40311
48916,29756,38082,30021,82268,71276,26746
73614,32033,48904,110908,39649,35471,68435
32845,57051,51754,120984,60927,51662,37174
81743,46377,57355,94690,74733,34219,30436
44163,58385,38002,79501,38771,59655,56009
44702,27147,38088,45532,58908,32514,42681
54482,38776,52911,70678,35556,89936,86848
44141,26173,93749,30086,45152,66556,57586
33476,64317,28122,91454,90817,58104,32088
59562,60743,52738,46239,26432,39456,29393
42605,42517,76167,37817,44301,50166,33480
28987,27003,39841,78858,25398,59984,37843
44635,27392,35305,36966,51672,32226,74978
30845,64146,90489,41164,43308,33316,30010
47309,84875,52435,40278,52459,64078,40729
52194,56854,39103,46191,76583,69684,41217
39892,53302,50539,90823,59388,66405,29318
27624,72884,23707,98807,29244,23597,42501
86382,45449,26830,45044,44125,62717,50111
33768,65053,51421,68493,39206,40085,36914
41509,66780,52820,39570,48000,41150,49609
35112,26696,55335,51557,40397,34115,18306
34128,26868,63729,77746,58318,61241,42918
40839,41132,33801,75080,71369,95550,70434
42506,60820,63325,25124,67764,65364,39987
37999,34884,38841,51969,74727,28101,83861
73943,56797,30391,62292,79043,50610,60654
32298,42582,38621,65631,103010,27338,33076
29909,38157,41903,56830,85973,56900,50478
65467,37264,105043,53340,66186,33691,35075
74359,51586,75710,59168,78010,31341,30145
33293,67647,31996,45921,109506,92434,26834
54916,70175,72651,36934,39380,37438,71658
24932,88682,26844,59607,47902,55566,32824
28751,34895,42278,89303,61597,44342,74697
24010,39559,40481,62016,52258,32460,46126
33828,114047,35098,42273,70130,50844,27317
57843,65404,29508,108422,76060,32252,25990
18972,70740,50021,49435,32889,30310,106334
26318,51664,81851,86327,36405,43365,38542
50393,49475,37725,99074,73296,62210,117131
38824,56691,72018,77783,58459,44329,57631
40615,63661,35909,44882,29675,30079,33796
36930,48749,112880,27232,84792,46596,22809
29616,83448,36778,56966,50293,60791,41844
95263,41885,51632,50936,61229,50832,54509
55081,54246,71068,86178,31312,33370,52059
37916,35610,29809,65803,83770,43311,36174
28231,59378,68015,65918,83236,31324,42092
61605,51895,50002,32285,43885,42302,40645
23761,69492,46588,45829,88645,51337,32352
52047,54562,34208,83430,53894,84914,50057
43183,48003,109517,54161,41628,39006,86420
39330,72556,71365,64695,76184,44787,51929
38549,64459,63428,45006,59255,34090,28336
45482,113994,85283,54519,82500,34913,35158
26194,59315,48296,47846,28694,70119,71649
55232,40855,38507,104901,54360,75769,46027
33525,36924,30866,51965,69851,53949,24956
