Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,skewed,vertical
Ashford,Highvale,Brookfield
1398,895,1190
1668,1212,1000
1209,1240,1280
1271,1181,890
1290,1238,803
1163,1394,1261
1553,1179,937
1025,1306,940
1053,1215,1145
1319,1087,1022
993,1254,1458
1702,1172,984
1925,1052,1013
1142,894,1027
918,1173,878
1156,1191,1014
951,1124,1307
896,1318,885
923,900,1147
1522,1558,1052
1354,872,1540
1073,1024,923
1710,1389,1445
1038,1867,855
1995,1132,826
1791,971,1553
1022,1367,940
1836,1212,785
1169,1047,959
1128,977,1183
1678,866,855
844,1290,773
1876,1272,893
1155,1673,1321
1630,1011,1065
877,1457,855
1110,1055,1151
1218,1268,956
870,1470,905
1600,1161,796
868,1113,1129
1395,1260,914
1036,1121,1392
1034,968,765
1222,1529,976
991,1019,860
1458,1235,849
878,1308,1164
1158,1057,1103
1224,916,1138
1340,996,1261
1294,910,1158
1112,1034,1312
1153,1027,1459
1623,1454,1251
1126,1129,790
1258,1632,1219
1295,1566,893
1510,1158,948
1451,946,1097
1714,1062,851
1121,1355,1003
1011,1148,791
1123,1181,956
1616,1120,823
1552,1045,1068
1182,1710,1058
937,1327,1174
1496,1278,815
1288,1270,986
1470,1570,1057
1402,1576,1152
1683,1507,1170
1120,956,971
1260,1047,978
1116,904,950
963,1490,1264
1549,972,1352
1149,1040,1102
1123,1228,885
1116,1007,951
1426,1205,1273
1281,1001,807
1323,1023,797
1193,1367,1049
1763,1144,1835
1056,1074,960
1241,1237,1460
1170,1295,879
1587,1216,803
1382,1021,1009
1354,1278,1187
1611,1261,1087
1489,1586,1143
1031,981,1258
929,1310,1113
1305,1070,1328
1118,1022,1485
1535,1260,985
1209,1106,815
1029,1140,1063
995,1353,1544
1335,1098,1068
1010,1018,1046
918,1290,1441
1931,987,1216
1206,932,924
1283,1507,1076
1977,1098,1234
1280,1657,1025
1501,1786,1331
1260,1244,915
1667,1038,1042
1683,1020,789
1027,944,1072
1443,953,1027
1479,931,753
941,1126,846
