Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,vertical
Elmhurst,Highvale,Oakridge,Fairmont,Springfield
2630,2509,663,1950,801
2672,2407,697,1711,839
2692,2489,822,1841,763
2741,2303,613,1716,951
2635,2649,620,1953,984
2586,2434,870,2143,1107
2716,2309,687,1346,451
2464,2491,639,1980,594
2639,2593,603,1850,535
2808,2542,619,1985,498
2428,2393,818,1678,703
2570,2483,748,1881,678
2612,2543,627,1876,824
2894,2418,719,1692,474
2580,2638,479,1808,395
2343,2518,818,1808,539
2613,2440,586,2077,367
2659,2475,597,1898,878
2635,2485,688,1733,648
2693,2512,588,1735,827
2468,2400,533,1970,566
2628,2422,751,1866,1137
2613,2414,759,1952,361
2409,2434,714,2006,641
2547,2498,847,2072,862
2685,2578,750,1930,833
2533,2405,430,1849,589
2675,2569,726,1800,367
2766,2389,628,1846,855
2687,2488,656,1806,703
2576,2277,662,1780,917
2672,2330,646,1751,917
2616,2478,762,1960,829
2709,2566,590,2029,955
2666,2357,696,2012,735
2443,2510,691,2035,998
2853,2627,719,1800,899
2736,2451,805,1863,849
2563,2569,947,2006,717
2763,2262,704,1595,962
2638,2322,714,1962,695
2865,2479,643,2078,875
2753,2251,634,1760,495
2534,2482,662,1793,494
2625,2465,655,1986,996
2599,2439,611,1773,650
2563,2469,922,2033,912
2605,2463,921,1828,155
2590,2533,906,1809,606
2598,2522,653,2160,583
2514,2470,598,2001,1135
2705,2302,681,1733,418
2588,2487,707,1709,753
2638,2344,526,2160,504
2629,2528,794,2092,1042
2728,2330,706,1746,675
2830,2375,763,1512,678
2535,2536,565,1776,476
2629,2504,741,2045,644
2664,2337,844,1851,863
2591,2662,756,1809,367
2494,2474,747,1883,880
2632,2468,634,2122,817
2616,2672,691,1941,732
2691,2494,770,1885,597
2350,2477,650,2114,777
2563,2486,713,1907,915
2594,2507,899,1753,590
2410,2391,825,1859,723
2557,2473,631,2055,859
2566,2484,775,1750,771
2757,2491,611,2012,129
2702,2398,848,1899,821
2609,2633,769,2026,873
2614,2490,668,1930,691
2431,2468,652,1927,823
2632,2523,713,1841,706
2693,2447,837,1838,765
2441,2617,703,2023,766
2541,2674,824,1659,666
2574,2538,734,1982,698
2700,2534,618,2105,566
2625,2557,809,2047,954
2766,2624,569,1916,794
2742,2556,647,1951,677
2743,2530,588,2114,533
2667,2559,628,2132,874
2620,2457,785,1697,477
2628,2551,565,2184,777
2539,2495,686,1794,527
2493,2514,681,1879,451
2687,2474,735,1860,907
2601,2488,585,1970,797
2653,2381,680,2091,647
2354,2134,697,1954,752
2727,2560,878,2077,529
2809,2479,561,1637,552
2625,2437,776,1750,704
2711,2486,741,2085,850
2509,2601,736,1890,546
2462,2705,713,2039,649
2511,2585,631,1753,794
2678,2471,630,2224,822
2540,2553,808,1976,700
2797,2463,770,1813,667
2570,2464,616,1880,1053
2598,2414,772,2072,312
2862,2538,767,2065,662
2357,2419,626,1766,635
2645,2296,745,1744,968
2645,2527,671,1246,813
2695,2422,637,1949,247
2717,2449,823,2087,616
2532,2520,781,1878,596
2688,2264,718,1962,357
2573,2529,778,1864,621
