Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,normal,vertical
Silent Echo,Twin Souls,Lost Signal,Echoes,Final Reckoning
819,636,280,405,596
496,261,233,776,479
784,516,602,581,324
559,958,300,661,513
343,436,582,580,548
333,199,665,501,463
881,917,748,426,612
366,621,696,594,634
627,440,620,474,583
515,418,314,446,530
420,837,482,632,671
306,557,403,224,460
609,713,711,544,515
553,493,466,652,573
526,358,747,711,672
644,447,655,520,775
724,521,836,172,524
588,199,466,427,545
487,759,817,236,510
746,414,278,507,798
410,798,299,686,785
718,914,903,520,571
791,683,137,877,551
750,718,483,629,614
721,616,523,461,706
606,663,464,503,562
645,684,259,790,758
735,812,889,506,478
529,301,204,203,384
635,562,495,418,275
764,510,637,605,639
373,645,344,476,685
701,298,420,698,574
470,326,629,696,687
785,237,616,393,793
740,683,374,300,659
600,238,220,567,579
540,878,1075,562,363
646,773,414,526,608
611,613,587,363,593
724,1033,912,630,450
606,575,760,387,652
180,369,489,371,663
691,670,990,673,691
517,224,644,373,694
440,306,420,580,492
629,519,422,643,430
577,757,140,408,580
759,330,671,719,354
857,355,503,463,634
863,847,531,582,495
524,649,822,824,691
435,314,485,740,642
449,1042,615,632,691
431,758,88,489,535
675,748,671,472,626
152,710,426,702,483
426,499,567,455,672
531,276,416,710,511
609,640,601,765,529
480,502,561,212,546
485,472,580,687,469
680,397,155,709,815
805,378,401,417,759
683,679,406,587,386
713,526,709,465,650
554,432,508,454,630
485,840,507,615,558
360,584,725,566,657
308,75,963,504,653
617,748,392,575,542
656,883,911,837,602
313,641,552,701,672
454,349,483,392,675
775,427,1014,540,518
689,314,714,798,725
568,720,302,320,625
298,408,460,528,617
548,232,743,739,682
674,571,884,547,557
527,595,935,638,666
632,682,650,681,347
274,594,500,483,805
830,503,370,327,575
279,161,360,785,467
422,628,623,788,711
542,996,663,553,577
502,486,374,528,721
432,519,438,782,700
700,626,493,431,639
497,159,572,648,623
711,779,297,671,594
746,489,474,711,516
349,931,742,518,736
617,545,814,831,537
895,526,626,504,612
70,630,429,784,734
614,992,671,520,468
304,633,680,776,737
758,411,451,571,493
768,330,681,613,760
660,740,198,396,600
255,707,366,741,693
536,313,514,372,412
747,231,462,602,484
701,533,613,516,513
521,453,699,712,694
602,467,526,686,649
661,758,463,641,684
529,578,289,609,594
269,580,297,271,414
671,650,315,812,584
12,548,545,667,731
381,658,756,698,549
911,357,547,528,679
684,513,379,806,478
830,355,729,845,493
