Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,vertical
Yorkton,Elmhurst,Ashford,Oakridge,Westport
51970,52285,37935,47054,62439
31867,50056,71865,44540,39853
44881,46727,55816,41432,39274
35805,37866,65177,44722,49637
47054,45949,67457,43441,44364
37966,30307,67536,27158,45081
53364,46605,55739,41459,62584
24943,55937,34332,47335,39656
36747,49398,53605,54513,32905
32695,57417,65718,58086,61910
44830,16283,60599,46573,45175
52350,55950,55227,40913,34509
40429,49899,52494,35025,41735
43913,30991,57065,58310,45615
44851,37137,67752,45665,48183
37469,34738,56305,48784,53972
55805,44055,67064,38107,40551
44828,42961,54343,54082,57857
49481,28769,58707,48947,66304
34001,48766,44413,42861,54215
39152,35906,65286,37192,32334
36357,56480,50833,44358,51660
45385,64313,57296,52320,46652
29318,53797,56536,48193,49377
43585,47121,48677,48126,65874
33219,57281,56040,43954,68831
53240,42839,50399,44335,62561
29039,38121,48014,55806,54443
53897,37974,68515,53174,68072
47891,32552,52794,50354,55453
45550,35482,55879,41551,55730
35126,40816,59293,58584,29984
39560,64534,54000,44435,43182
56788,51070,53620,35797,47241
50254,49441,44441,40605,45762
38491,39399,74889,45070,53840
57784,53372,60923,45782,57464
28827,45685,54790,45431,35774
40205,39616,45880,46596,44044
56771,48436,47971,53001,50073
34570,46971,65039,42166,64961
34448,42113,67826,43793,69452
44211,53280,46602,63634,35548
54154,53195,57584,61148,34672
50630,56767,45029,46983,61938
38978,46229,53376,51981,52756
43268,42038,42785,45261,41943
38981,53818,61677,48425,51257
33766,39989,35349,44798,35283
48857,31725,23010,56301,43284
44338,43375,57562,51837,52282
39561,44045,64727,54134,50540
37433,62211,69410,55150,58108
40720,60576,55340,56211,41539
57134,43590,53761,61081,54824
51919,58982,31719,26937,41128
37359,56873,75872,49090,20915
41071,47226,39820,56876,39008
38259,43474,59191,45802,43257
59965,42271,28703,49450,41864
59461,58803,48644,49260,45419
52156,49568,60884,53016,59612
49072,50553,51695,53676,35994
40416,45363,42112,53504,50589
26146,51256,47085,33538,60614
54989,47530,79671,43049,55288
41836,48719,78281,62202,45928
44954,50740,79197,49890,57524
47601,37474,56493,39340,62458
46344,41511,46323,53083,59521
49159,44302,52742,36420,35432
34211,52633,61827,29306,64181
50976,39896,49729,33042,40516
37623,37866,74876,47308,58571
59472,51777,45915,60395,59548
49906,60489,37785,27337,50306
32575,39983,50799,29734,47983
30343,63576,39781,46428,56936
39439,55550,43271,51158,57848
51739,60258,47628,54641,64053
21881,54639,66825,47227,62380
33692,47962,42712,49720,44986
47500,58518,55277,34544,49240
59733,45857,40787,42849,39428
37870,44722,74378,38003,53680
35888,42444,56603,44308,44838
41510,51453,54811,37961,48103
32662,44821,50400,48710,37212
30036,48904,62338,59013,50825
51092,52247,51811,48743,46682
53761,52399,52100,53269,43330
31057,54818,46746,59503,37425
32949,48930,64318,54058,43974
49105,42177,42147,50464,52385
43801,54544,35145,51492,44397
52236,55939,61796,62149,50780
50595,54570,52121,46488,51687
47550,37245,50447,62663,53291
34749,57794,49986,49846,44588
50864,33416,59431,52664,45016
30207,43915,42262,33425,45074
47193,57108,51700,32876,37436
53362,59102,58203,37237,63942
40291,32222,71230,40789,65112
37982,43149,56398,52469,57180
47643,40659,36812,45813,30043
45172,29835,46320,53613,27522
58356,49905,48982,43702,61396
48228,44746,59760,45996,53474
45070,46597,67937,43719,57380
41886,32720,74878,52931,44428
35971,60165,54399,49469,33983
51981,51297,49276,49331,41418
58631,31362,45123,55668,42912
58644,47080,54026,53373,45140
52952,29830,41456,47689,39610
34883,50151,45335,53442,53002
38327,53629,60458,31671,36531
