Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,t,vertical
Sun Harbor,Willow Grove,Hidden Valley
6576,5098,8217
7262,11521,10342
3791,6794,4562
6730,11372,12301
19839,8476,9014
9137,3555,5016
7231,3295,6542
10544,4399,7624
4459,7452,7561
5602,7590,10269
7714,3892,11882
6685,11554,9508
3610,5803,7024
4189,10702,7484
7204,6503,7318
6399,5217,7397
5729,12233,11055
10950,5965,11010
10738,10791,9943
12368,10821,8431
4528,14012,9869
9609,9714,15661
8126,8798,4143
10358,8684,7970
2599,11097,10839
8331,10193,5535
9633,10916,13510
8527,4075,14009
8249,10425,5429
9206,7754,9899
8510,10134,10139
3964,3730,10123
3555,1592,6225
10346,9973,11679
9382,10316,7777
10401,8902,12392
7107,6997,11314
2899,7772,9962
8075,10773,1852
5347,6238,5465
13186,7042,11489
10046,4458,7098
5210,10617,6218
4706,5802,8770
3794,7638,13228
10516,7775,14641
3600,5975,9601
11291,2942,13568
8871,8647,6058
9899,5793,8466
7533,2206,12767
10139,9053,9366
4950,13548,11408
2147,11332,16414
2752,9138,7084
6775,4456,4556
5679,7838,11607
6982,6453,4066
13799,10549,13418
7448,4869,17989
5192,8923,15986
13543,10408,5778
11872,8010,8722
7268,4910,2109
5745,10148,6173
5699,5767,9386
2794,13151,10503
7460,11323,5855
11955,9740,10761
7137,5004,16321
10543,10640,7372
12435,7934,2941
7501,8165,6628
4420,9684,7207
9626,11928,5529
4956,9005,7507
3066,8760,8248
6279,4373,12310
6569,4097,8929
5063,1677,11844
11300,3511,6873
3123,3447,8585
5073,8430,8230
6122,10692,9916
10827,10994,9583
2000,7155,10892
9713,10472,7943
12847,9161,8794
10401,8917,12273
861,7191,6399
3171,6800,12174
11744,8629,5389
6114,8408,6290
11480,8641,3378
10541,4129,4294
8951,6209,9164
6132,11434,9927
4145,11440,14941
13730,10225,6508
4312,11187,9296
15219,10377,8927
10598,5290,10708
8524,7996,13541
9060,11417,10394
9554,1998,8900
9651,8333,7922
9751,9079,5917
5847,10774,12947
5808,10034,4189
1348,12738,14383
7412,6817,9081
5357,5605,11159
4200,6043,6877
7235,6379,12445
4572,6612,5172
9670,5838,8894
4008,15429,9840
10058,14763,7906
