Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,vertical
Broken Mirror,Echoes
1427,636
620,745
995,521
313,324
960,477
1119,495
856,726
764,468
482,178
882,344
1289,353
363,811
673,742
513,398
962,615
449,794
642,1025
650,1096
506,746
1392,971
867,656
682,532
218,831
723,598
522,842
2142,417
1270,413
757,172
1695,394
555,786
259,197
549,665
604,613
237,210
1114,1074
547,743
574,343
609,319
1832,553
1129,275
339,948
582,596
1133,337
630,579
486,302
457,396
894,217
888,755
408,1002
1005,265
749,687
1142,428
318,938
1652,565
541,242
716,272
262,327
961,654
233,149
1770,499
1110,338
713,785
519,525
1322,478
877,288
1187,530
1132,766
858,712
965,1050
302,330
673,395
1444,791
739,427
466,457
1174,368
491,509
643,315
1449,646
614,470
533,344
946,439
943,685
466,386
1526,756
559,841
1041,643
383,1003
536,159
1674,679
610,542
537,409
194,849
490,532
1089,407
2019,260
694,538
502,220
1085,476
1029,1048
461,322
1011,395
401,439
1767,304
901,1272
1291,789
543,427
607,494
405,603
905,452
645,733
400,899
969,184
1095,1120
544,497
721,575
337,271
1337,539
448,277
