Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,t,horizontal
Rosewood,Lakeview,Ashford,Highvale,Glenhaven,Ironwood,Pinehaven
1764,1220,1510,286,2456,2055,2139
1731,1225,1422,669,1838,2133,2020
1788,1151,1397,594,2209,2038,2154
1779,1283,1538,604,2195,2089,2088
1789,1283,1174,562,2421,2086,1761
1930,1212,1445,378,2119,2265,1704
1873,1204,1327,474,2004,2090,1799
1795,1255,1306,565,2665,1990,1577
1733,1189,1270,588,2601,2108,1934
1638,1214,1638,704,1935,2171,1881
1493,1085,1715,632,2179,2097,1972
1803,1241,1649,413,2359,1976,1819
1870,1218,1280,361,2262,1969,1711
1817,1283,1789,629,1833,1877,2173
1769,1260,1555,467,2280,2158,1667
1752,1010,1418,428,1862,2038,1755
1840,1099,1414,1031,2163,2132,1731
1698,1203,1580,706,2207,2050,1949
1871,1195,1287,44,2296,2060,1822
1817,1219,1672,786,2071,2220,1830
1757,896,1537,435,1901,2093,1987
1849,1218,1234,596,2361,2107,2105
1783,1228,1430,695,2160,1981,1869
1678,1200,1296,303,1996,2059,1929
1855,1212,1305,732,2605,2147,1949
1837,1113,1523,359,2325,2084,2063
1661,1174,1568,180,2172,1965,1703
1760,1249,1460,705,2053,2121,1775
1865,1174,1516,443,1953,1986,1846
1754,1221,1231,709,2015,2021,2182
1772,1174,1447,671,2193,2098,1815
1594,1185,1434,613,1727,2085,1802
1747,1217,1417,215,2409,2182,2007
1824,1204,1518,552,2514,2118,1886
1732,1208,1378,807,2104,2084,1904
1621,1257,1483,297,2291,2080,1883
1837,1172,1394,749,2203,2198,1956
1831,1152,1393,646,2183,1972,2066
1731,1140,1533,1039,2134,2075,1544
1907,1256,1258,138,2236,2122,2011
1860,1155,1767,373,2679,2099,1686
1651,1307,1270,407,2224,2158,2047
1616,1182,1499,488,1826,2122,1810
1649,1196,1323,854,2799,2091,2184
1732,1085,1446,392,2410,2157,1857
1848,1317,1421,490,2315,2140,1818
1817,1228,1373,679,2047,2202,1819
1716,1256,1472,613,2064,2022,1963
1765,1298,1325,669,2525,2052,1779
1820,1236,1262,734,2149,2050,1767
1855,1193,1467,581,2167,2105,1791
1585,1153,1569,372,2637,2033,1972
1761,1126,1375,226,1770,2137,1910
1905,1135,1334,481,1770,2151,2119
1636,1112,1206,791,2141,1843,2126
1755,1198,1256,472,2589,2014,1608
1694,1285,1542,697,2184,2093,1857
1661,1223,1525,742,2124,2141,1969
1609,1214,1546,456,2018,2077,1818
1722,1130,1494,816,2198,2106,1883
1769,1074,1416,658,1884,2053,1772
1759,1211,1659,870,2231,2054,1966
1550,1315,1228,370,2229,1979,1935
1741,1290,1360,677,2264,2138,1711
1794,1221,1469,769,2136,2047,1783
1765,1219,1468,1007,2119,2106,1885
1668,1254,1182,640,2003,2017,1991
1702,1235,1633,769,2381,2107,1598
1758,1191,1384,534,2189,2054,2097
1754,1232,1506,697,2345,2080,2027
1838,1327,1121,437,1999,2051,2035
1756,1073,1306,418,2119,2001,1964
1809,1112,1237,489,2499,2063,1808
1606,1165,1616,731,2224,2110,2101
1593,1240,1514,268,2078,2066,2008
1530,1097,1505,899,2006,2021,1898
1891,1284,1541,770,2297,2046,1922
1654,1162,1589,663,2422,2081,1505
1769,1141,1401,416,2245,2039,1860
1702,1238,1285,767,2299,2173,2007
1837,1172,1408,636,1795,2044,1780
1649,1297,1671,441,2309,2161,1913
1825,1317,1430,661,2222,2039,1724
1721,1195,1458,760,2264,2072,2080
1824,1245,1275,240,2428,2139,1758
1690,1241,1207,419,2293,2023,2103
1716,1242,1520,692,2217,2048,1849
1659,1202,1518,977,2547,2147,1906
1835,1285,1562,569,2558,2149,2057
1730,1258,1335,784,2039,2151,1880
1583,1153,1224,688,2183,1988,2105
1741,1339,1480,497,2268,2165,1691
1866,1156,1241,597,2003,2027,2036
1819,1258,1425,612,2254,2071,1813
1666,1269,1654,779,2158,1997,1914
1710,1270,1230,815,1830,2098,1936
1825,1135,1448,477,2443,2054,2046
1576,1175,1378,462,2324,2043,2065
1757,1171,1044,853,1375,2111,1878
1714,1143,1612,926,2358,1975,1608
1541,1266,1476,871,2228,2113,1685
1827,1218,1323,621,2191,2064,1866
1875,1184,1393,561,2025,1953,2062
1855,1269,1602,661,1887,2147,1351
1642,1204,1565,515,2166,2021,2098
1802,1230,1433,341,2171,2065,1999
1756,1234,1518,681,2350,2096,2004
1640,1320,1744,769,2105,2185,1960
1728,1246,1336,650,2074,2109,2013
1815,1007,1747,647,2602,2037,1276
1669,1280,1508,777,2066,2094,1737
1903,1270,1325,767,2286,2055,1909
1560,1161,1348,523,2274,2108,1759
1908,1257,1279,476,2318,2068,1920
1803,1252,1289,663,2388,2043,1839
1650,1267,1322,871,2377,2137,2092
1776,1209,1431,452,1814,2177,1828
1862,1161,1554,404,1623,2040,1661
