Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Greenwood Academy,Silverton High,Redwood Prep,Riverdale High,Pinecrest Institute
83.11,77.53,90.05,77.2,78.28
86.56,73.46,99.61,80.89,80.0
74.59,76.7,90.99,76.08,83.99
102.69,72.77,134.37,75.33,77.85
88.06,86.41,94.53,76.27,92.96
86.28,74.9,95.07,78.89,87.68
79.32,83.83,92.96,77.59,89.2
85.47,74.02,96.9,81.15,94.77
90.81,80.83,80.42,76.83,99.56
77.26,90.19,77.45,80.42,79.42
80.03,79.09,99.9,88.59,85.76
96.33,74.31,86.83,79.21,89.6
79.51,75.6,87.7,85.41,93.05
88.75,89.5,82.12,75.61,78.22
88.0,74.78,88.02,81.1,86.61
81.72,85.63,81.16,88.94,86.86
87.79,91.8,99.06,79.4,81.5
89.08,74.16,76.29,85.82,84.69
79.82,76.88,102.14,82.47,78.62
80.6,73.85,76.46,84.3,86.08
90.14,81.51,75.91,74.58,95.02
86.56,83.84,92.51,75.61,98.01
77.03,78.2,92.74,73.18,102.3
80.67,83.45,81.18,74.31,76.97
94.98,72.87,87.93,79.47,87.9
86.73,75.46,82.3,73.73,86.88
100.31,74.12,94.88,83.6,103.21
93.41,77.66,92.86,76.2,78.12
80.53,73.88,84.74,77.14,79.94
78.23,84.44,88.32,93.56,91.47
81.1,77.44,100.17,73.27,79.6
95.87,88.15,78.38,87.74,87.53
76.47,71.89,108.91,73.56,102.42
80.17,91.51,81.08,78.72,81.89
77.93,80.22,104.32,72.14,85.34
89.56,84.35,84.92,79.82,80.03
103.04,88.09,83.51,79.13,78.78
82.79,76.52,84.25,78.83,81.07
85.16,74.1,81.69,76.74,73.97
76.93,76.83,85.62,80.24,98.43
78.69,80.7,84.46,74.24,84.21
80.74,77.13,97.29,76.3,77.3
84.7,95.43,81.97,80.1,85.74
91.68,72.89,88.9,76.17,81.19
94.69,79.81,90.66,80.7,79.49
74.92,86.11,90.57,82.1,80.58
81.81,74.64,93.1,85.0,77.83
107.18,72.95,88.53,88.65,75.11
75.07,80.31,98.0,101.25,92.08
88.51,81.44,77.97,73.44,84.99
87.59,78.28,81.88,82.36,88.84
86.22,75.0,88.81,79.96,81.84
98.72,75.04,88.11,82.04,78.07
81.03,75.66,103.94,75.12,77.18
83.09,81.05,76.82,78.31,77.61
91.84,72.1,87.14,77.86,79.18
76.77,87.77,95.69,77.87,76.28
85.18,80.29,79.96,76.05,88.25
80.26,78.81,76.63,81.3,84.47
90.42,86.47,87.87,80.99,79.21
91.13,72.76,88.81,75.46,77.63
84.46,76.26,83.31,85.63,102.54
77.71,82.07,90.97,73.76,81.84
81.12,74.42,104.86,76.36,92.22
75.0,88.29,79.44,73.58,73.94
84.59,73.29,82.54,88.09,76.4
84.21,77.23,83.67,77.84,94.08
87.8,82.88,82.03,80.76,83.49
82.91,80.71,81.78,77.16,81.83
90.32,77.65,104.94,91.42,76.75
89.75,75.87,86.79,85.64,76.95
91.26,76.35,96.46,79.27,116.13
96.6,86.01,76.46,83.75,90.43
85.81,76.46,89.65,74.43,95.8
79.9,75.06,87.56,82.18,79.61
84.11,77.73,86.35,94.11,88.08
88.77,82.22,106.71,85.19,84.14
84.15,83.36,90.74,80.43,105.23
88.9,81.48,90.79,77.13,78.15
80.3,88.75,94.66,82.4,114.04
82.17,87.16,83.3,82.81,77.93
86.76,86.02,99.77,82.03,78.07
89.78,82.56,94.84,85.96,87.95
81.6,77.14,77.48,73.41,88.28
85.56,93.3,85.42,72.52,79.86
83.88,82.2,83.24,72.97,82.76
81.18,82.23,85.83,73.78,90.4
86.76,77.22,85.98,73.12,96.46
80.36,73.93,87.62,79.82,84.33
82.51,75.13,89.74,85.46,96.62
85.26,90.7,86.47,81.5,83.72
76.72,81.3,93.11,83.15,84.42
86.1,75.31,83.2,74.91,82.94
76.97,90.1,80.13,84.7,80.61
78.56,84.03,88.37,82.04,95.89
90.68,79.39,79.29,85.08,82.1
77.17,80.63,92.56,83.29,95.23
87.62,77.55,103.98,78.64,78.92
89.65,82.67,82.08,76.04,87.54
84.28,80.94,80.37,75.33,79.51
87.69,80.33,84.65,73.07,80.6
78.92,88.73,80.94,79.2,84.86
85.51,85.37,83.53,81.82,80.7
81.73,82.32,80.29,74.4,92.47
94.78,79.2,90.1,82.25,92.51
82.57,79.1,80.4,111.59,85.67
82.99,74.9,85.52,79.41,73.12
74.09,90.84,91.31,73.38,98.9
103.29,72.87,78.77,91.14,75.3
92.55,86.3,91.99,76.55,87.24
80.76,71.62,78.35,75.81,88.24
94.72,76.07,76.78,82.85,80.86
90.29,88.5,85.84,79.18,87.74
109.5,86.51,96.91,85.81,88.03
78.4,75.77,79.32,83.89,92.6
80.19,77.77,80.98,74.66,74.62
86.72,74.14,120.76,75.02,78.98
91.9,86.41,86.69,86.54,80.96
84.23,74.11,76.89,87.38,93.16
74.91,71.5,79.06,87.91,85.94
