Education and Academics,Data on employment rates in different schools,%,t,vertical
Northgate School,Westport Academy,Glenhaven Academy,Elmwood Prep
83.91,81.99,84.92,81.12
84.41,79.84,78.75,89.7
89.77,82.41,82.57,89.79
83.73,81.17,72.9,89.77
84.39,82.78,70.69,86.12
92.44,78.92,78.79,91.97
81.08,75.68,77.37,88.03
85.72,87.68,79.07,88.84
82.24,82.58,76.94,88.82
88.65,85.36,83.17,84.71
92.78,82.58,79.18,88.9
78.98,83.97,79.53,86.91
86.97,84.73,82.04,86.91
81.22,83.61,75.06,87.11
79.66,81.28,84.91,89.09
78.12,84.41,80.01,89.32
83.94,84.05,84.87,86.8
86.53,84.65,79.32,89.0
85.92,83.33,77.64,85.46
87.99,89.57,73.66,89.92
85.96,82.18,80.74,90.96
80.04,80.45,78.21,88.08
88.49,85.55,79.15,90.92
81.97,81.87,82.51,90.58
81.3,83.59,80.06,89.59
78.81,88.94,81.09,86.51
79.22,89.52,79.31,95.59
83.86,85.57,79.23,89.68
85.06,78.15,80.24,91.08
80.63,84.21,82.65,89.67
80.54,86.04,78.58,92.86
77.92,80.29,80.42,86.6
85.6,82.2,84.36,85.07
87.21,76.04,82.99,89.68
77.76,85.43,79.93,83.76
83.64,85.73,82.59,84.77
84.63,85.49,76.73,87.94
89.25,87.53,82.13,89.99
79.57,81.72,79.9,88.19
83.9,86.63,83.71,90.32
85.36,82.53,78.79,88.38
81.14,85.92,75.86,90.94
78.06,81.05,82.21,88.45
81.39,83.21,81.68,84.4
85.85,81.59,80.93,89.12
85.73,85.02,91.33,87.75
79.98,80.64,81.39,87.84
82.08,85.47,81.06,96.06
81.35,82.44,73.76,88.96
83.83,88.25,83.52,89.71
87.58,85.92,76.98,85.35
85.65,84.92,83.88,82.85
78.31,81.21,82.84,88.64
79.96,83.46,80.03,90.22
84.42,79.26,77.06,86.33
82.19,86.46,79.95,91.02
88.62,87.39,77.98,88.47
78.85,87.69,82.19,86.26
82.12,80.24,80.81,90.02
82.27,87.55,81.75,90.71
84.32,76.73,80.14,86.86
75.31,89.82,79.78,86.6
81.85,82.79,79.29,86.61
77.88,89.44,78.85,85.59
78.36,83.04,78.01,84.62
87.05,83.28,77.51,85.97
82.8,87.66,77.61,89.63
81.39,83.04,78.01,93.25
78.93,84.58,81.23,90.49
81.61,90.52,81.4,90.65
80.5,84.29,82.09,89.76
83.7,83.28,77.24,92.9
85.71,83.95,81.57,88.84
84.52,80.67,85.86,83.06
83.1,83.49,77.02,87.72
83.08,86.46,83.35,92.59
84.45,83.47,81.07,88.82
78.93,83.78,83.76,89.21
87.26,84.42,80.89,97.44
79.6,86.1,79.38,92.21
85.26,82.11,83.4,84.64
86.04,83.62,86.36,89.32
87.47,80.96,76.65,90.24
86.8,88.35,80.87,85.37
83.59,82.58,79.87,86.67
84.87,89.25,82.21,88.1
84.8,83.42,78.15,85.37
78.36,85.35,81.29,90.69
81.42,81.24,80.99,84.81
86.49,86.3,82.91,89.3
88.76,81.47,76.79,90.66
82.37,82.29,79.74,95.24
83.89,84.7,77.04,84.11
83.5,83.01,82.88,85.99
82.49,84.44,76.64,88.24
84.76,83.76,79.47,89.99
79.22,82.31,86.74,91.49
86.6,81.56,78.43,86.26
85.93,83.68,78.66,85.1
80.99,85.99,82.84,94.77
87.03,77.98,78.74,91.61
82.18,81.87,78.66,89.38
82.63,82.45,81.02,84.16
84.28,84.1,83.31,90.66
82.26,81.49,79.12,84.49
80.37,91.63,84.87,90.67
82.99,85.37,82.28,87.43
83.88,77.67,77.69,90.64
80.57,83.84,78.58,87.84
78.24,77.45,82.53,87.76
77.64,84.21,73.97,94.07
76.88,84.81,82.88,87.32
87.09,83.84,85.99,80.86
82.77,81.82,78.24,86.13
83.91,86.13,79.71,88.16
81.23,84.49,80.88,85.44
77.14,85.25,80.37,88.05
81.84,84.85,79.72,89.29
81.41,86.59,82.11,85.06
80.89,80.03,84.27,88.46
