Energy and Utilities,Data on daily energy consumption accross cities,MWh,skewed,vertical
Oakridge,Glenhaven,Ashford
2643,2353,1993
2085,2551,1941
3102,2041,3712
1833,1810,2932
3390,2463,2422
1685,3622,1636
2110,3002,1899
4319,2031,1905
2636,2675,3968
2807,3736,1027
3297,2003,6090
2165,3378,1365
2863,2606,2129
3558,2301,1589
2621,1863,2933
2480,2119,3524
2486,2525,956
2900,1818,5069
2390,2335,1074
1947,2846,2686
2839,1904,1066
2018,2711,2743
1894,2800,1752
4340,1682,5576
1843,2750,1772
2064,2054,3572
2574,2444,2078
3651,3599,2069
2120,2072,2624
2795,1787,2430
1871,2563,2540
2285,3192,1172
3377,2031,1815
2195,3680,1430
2163,1699,3016
2600,1828,1762
1994,2466,2787
3190,2988,1500
2830,3012,2341
2469,2369,4096
3468,1891,1411
1938,2326,2588
2940,4044,2486
2803,1993,1074
2018,2166,2198
2198,1971,1708
1808,2361,2711
2524,3334,1844
4462,1860,1134
3835,3479,2819
2251,2102,2568
2451,5156,4476
3257,3996,1960
2446,2711,2263
2184,3251,1456
4634,3045,2166
4279,2364,2192
2157,1836,2276
2916,3536,3339
3711,1960,1444
1621,2328,2302
1714,1860,2216
2231,3491,2272
3894,3356,2031
3578,2064,1260
2908,2872,1515
2136,2767,1391
3068,2579,1563
3875,2871,4550
4357,2001,1819
4556,2039,1721
3959,3851,3180
2051,4551,1223
2584,2387,4681
2445,2960,1532
1828,2148,2302
4606,2044,3625
1724,3308,1839
3826,3418,3917
2610,1936,3721
2198,3083,2407
3004,1855,3385
4466,2398,1850
3102,2533,2811
3073,3504,1778
2223,3030,2149
2077,3460,1158
1994,1744,1285
2217,2557,1780
1650,2574,1311
2424,3231,3944
2558,1736,2670
3000,2056,3436
1618,2621,3045
1693,1761,3082
1777,2903,1693
1817,2410,3217
3687,2109,3524
2901,3993,1723
2170,1692,2126
1489,1846,3328
1635,2313,2317
3049,3498,2876
2927,2557,1014
4858,2613,1373
1647,2773,1197
2078,1728,1115
3252,3111,1866
1541,2172,1304
2512,2810,1396
2399,1783,2201
3212,2135,2640
3157,4556,2195
2091,1906,3144
1867,3415,2846
1914,2034,1326
1725,3712,2094
2237,2518,2132
