Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,vertical
True Edge,Plain Sight
644,588
1084,301
456,522
737,1033
283,744
756,424
617,300
286,825
151,239
591,718
600,694
567,733
306,276
298,687
305,732
142,334
623,1071
710,626
198,876
108,241
701,689
596,728
382,214
281,540
661,670
165,617
655,734
254,367
429,553
423,301
522,416
411,317
203,909
139,662
119,306
662,819
210,226
623,680
998,781
762,256
220,688
329,223
642,236
919,629
232,608
485,400
122,255
483,740
1032,274
646,754
666,208
228,942
611,581
1040,548
416,761
612,169
506,266
619,286
299,323
1053,667
440,507
754,133
536,323
306,424
639,234
225,785
439,629
303,901
628,1288
595,668
455,260
259,335
473,435
583,750
598,480
218,265
680,547
503,760
266,145
518,425
709,621
166,1167
604,851
737,567
140,237
198,500
667,217
339,1210
324,393
243,792
292,858
120,404
359,466
285,375
606,368
389,524
137,516
557,643
385,582
667,178
849,643
1025,707
328,430
256,176
407,451
726,669
242,328
175,489
579,362
853,428
248,433
421,855
843,786
712,208
648,300
460,310
557,633
520,438
