Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Springfield,Northgate,Brookfield,Lakeview,Rosewood,Fairmont,Zephyr
3150,3061,2656,2124,5240,5102,3209
3098,3560,2848,2286,4418,5609,3252
3276,3435,2784,2599,5312,5690,3291
3179,3373,2573,2180,5098,5443,3082
3372,3289,2790,2050,5599,5649,3291
2949,2899,2677,1953,5604,5164,3112
3219,3382,2712,2397,5129,5696,3320
3513,3163,2821,2441,5510,5047,3377
3208,3586,2773,2308,4971,6144,3184
2914,3460,3308,2255,5423,5490,3270
2963,3228,2605,2129,5506,5328,3356
3173,3304,2105,1961,4548,5149,3262
3033,3509,2865,2141,5168,5447,3246
2356,3182,2330,2257,4846,6126,3390
2962,3642,2754,2339,5219,5473,3267
2978,3304,2476,2366,5256,5449,3192
3256,3111,3240,2128,5336,5525,3193
3250,3334,2611,2007,4843,4841,3294
3366,3483,2511,2585,5304,5644,3245
3177,3149,2934,2236,4903,6082,3268
3381,3268,2620,2298,5270,5274,3275
2696,3466,2858,2082,5453,5723,3472
3052,3069,2270,2160,5199,5628,3006
3014,3245,2852,2144,5175,5567,3359
3407,3201,2882,2362,5451,5777,3291
3011,2850,2718,2340,5470,5762,2954
3120,3483,3172,2526,5124,5287,3204
2756,3426,2552,2378,5253,5779,3159
3564,3378,2956,2533,4911,5570,3124
2805,3521,2423,2058,5366,5116,3102
3442,3572,2894,2081,5043,5671,3337
3639,3179,2423,2276,5433,5584,3232
3317,2925,2850,2318,5213,5737,3066
3220,3633,2478,2414,5439,5830,3322
3706,3415,2603,1768,5362,5845,3274
3144,3018,2897,2323,5179,5507,3457
3416,3434,2722,1972,5670,5778,3282
2882,3540,2757,2424,5148,5557,3390
2830,3511,2866,2393,5840,5993,3364
2946,3216,2633,1680,5360,5992,3486
3000,3192,2751,2313,5798,5303,3182
2887,3529,2523,2051,5057,5652,3316
2407,3502,2570,2124,5413,4989,3407
3116,3703,2587,1520,5560,5605,3344
2866,3219,3261,2146,5315,5836,3251
3197,2931,2368,2147,5212,5652,3259
3337,3399,2719,2510,5035,5653,3321
3025,2996,2993,2111,5517,5241,3308
2895,3327,2599,2021,5242,5318,3459
3091,3274,2743,2019,4556,6120,3382
3242,3207,2268,2318,5517,5896,3036
3063,3263,2662,1286,5454,5397,3416
2947,3219,2398,2238,5409,6012,3344
3229,3589,2799,2243,5849,5930,3216
3007,3613,2451,2366,5412,5534,3283
2569,3456,3103,2229,5661,5547,3200
3156,3541,2861,2244,5883,5675,3194
3387,3357,2832,2415,5282,5652,3510
3186,3232,2837,2462,5277,5213,3355
3271,3106,2631,2105,5677,5399,3460
3234,3215,3084,1784,5204,5694,3122
3055,3252,3229,2247,5734,5387,3197
3225,3268,2918,2116,5014,6070,3261
2967,3869,2477,2228,5497,5660,3338
3660,3067,2549,2403,4972,6260,3210
2863,3452,3162,1722,5186,5424,3370
2936,3589,2943,2548,5088,5884,3235
3118,3169,2806,2503,5298,5519,3431
3247,3085,2809,2131,5236,5622,3304
3055,3273,2414,2383,4614,5835,3326
3085,3480,2709,2299,4928,5517,3301
3619,3301,2546,2235,5247,5586,3173
2924,3254,2655,2097,5525,5915,3143
3194,3781,2789,1832,4802,5169,3346
3354,3335,2523,2300,5173,4855,3381
2991,3248,2188,2342,5284,5481,3102
3244,3234,3295,2287,5334,5676,3221
2747,3518,2547,2285,5072,5621,3232
3197,3262,3211,2321,4452,5892,3180
2896,3143,2798,2297,5103,5723,3345
3072,2890,2803,2208,5183,5746,3168
3174,3062,2855,2123,5442,5170,3336
2798,3216,2823,2256,5364,5544,3220
3232,3475,2495,2267,5585,5867,3139
3077,3260,3053,2151,4766,5597,3197
3109,3381,2778,2466,4958,5322,3373
2586,2843,2207,2174,5095,5555,3330
3044,3222,2333,2334,5388,5514,3355
3294,3515,2967,2239,5536,5546,3193
3096,3306,2405,2529,5195,5808,3418
2890,3764,3251,2246,5488,5984,3385
3533,3230,2885,2153,5583,5045,3132
2856,3433,2756,2135,5223,5599,3304
2746,3527,2578,2281,5458,5707,3176
2936,3251,2791,2025,5418,5975,3312
2916,3065,2933,2326,5826,6188,3531
2806,3211,2776,2396,5059,5826,3291
3273,3565,3260,2155,4834,5461,3021
3227,3299,2666,2340,5440,6135,3104
3485,3490,2465,2206,5074,6099,3422
3645,3405,2654,2131,5465,5358,3236
3026,3576,2640,2393,5200,5535,3302
3156,3090,3297,1878,5163,5080,3250
3175,3110,2398,2030,5426,5255,3264
3441,3353,2837,2241,5192,5666,3478
3221,3568,2892,2366,4901,5325,3340
2587,3276,2968,1850,5412,5321,3404
3408,3352,2732,2257,5506,5773,3346
2944,3365,2564,2326,4704,5516,3306
2995,3313,2762,2288,5395,6194,3112
3011,3580,2810,2183,5191,5871,3350
3379,3209,2610,2119,4811,5443,3326
2983,3358,2668,2352,5579,5472,3550
3018,3116,2392,2195,5297,5493,3205
3173,2870,2454,2292,5595,5685,3327
3216,3551,2412,2149,5492,5965,3246
2836,3223,2458,2229,5466,6223,3248
2945,3170,2279,2456,5638,5749,3302
