Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed,vertical
Jute,Wheat
10304,3516
7044,2241
5198,3146
7313,3768
3177,3066
9010,4316
5873,3479
10782,5493
12687,2451
5118,5040
4496,3443
9959,3592
8760,4897
5071,3187
6356,5808
4845,2316
5347,3125
7827,2565
3935,6924
8124,6274
9064,4642
6807,4836
6034,1943
8316,3266
11386,4248
4639,5177
11830,3741
3947,8446
9643,2746
7180,2474
10235,6438
6009,1567
3501,3721
3006,3184
6860,6617
6536,4760
5879,4420
9703,2246
5876,8877
9776,4591
5571,2239
4412,3777
4499,4489
4059,5705
3418,3418
3820,6505
9790,5726
5701,1853
5563,2904
3038,4406
4190,4277
3541,3005
3399,2305
4100,1755
7342,2410
8436,5450
6561,4778
4813,2392
5987,6802
4608,2346
5230,6103
6919,7899
5120,3926
8007,3453
3262,6331
4411,2491
6071,2838
3796,4961
8320,5042
4880,2510
3398,2955
4213,9328
7561,5881
6761,3998
4150,4918
5016,3713
10037,4405
4454,7486
5266,3253
6547,5145
6055,6278
8207,1803
7965,7870
10198,2391
6636,2223
7286,3992
5004,3218
5991,2226
3197,3468
5877,2614
4485,2825
8884,2505
5308,4499
4383,2338
6952,3991
5414,2916
6569,3164
3438,5716
4070,3650
9457,5337
3636,2350
4685,7487
5469,9048
4869,4483
3174,6502
4103,4424
5495,2019
6777,6312
7876,4462
7388,2294
4008,3130
6765,2387
7432,3701
6338,2171
3172,3142
4202,3422
5544,6065
5035,4421
