Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,t,vertical
Co-op,Townhouse,Mansion,Penthouse
760,429,702,303
295,699,591,391
460,234,420,523
868,523,532,457
164,424,668,509
133,594,700,383
698,707,668,176
615,627,532,558
293,891,495,504
500,430,495,719
499,490,432,762
487,585,563,385
576,563,428,281
477,707,487,909
1195,320,642,491
837,590,496,432
591,131,596,479
658,819,613,419
665,578,343,492
706,735,627,142
837,675,331,470
540,785,618,289
617,314,361,583
346,575,369,530
454,89,318,460
647,377,557,156
251,838,652,543
559,774,234,429
592,772,379,525
405,972,573,512
674,257,594,334
490,689,482,906
696,683,166,452
775,556,395,202
341,602,589,656
476,784,526,698
681,386,504,757
694,573,588,153
787,725,538,497
323,719,522,559
624,355,704,394
582,419,582,574
385,631,548,573
412,569,421,495
680,428,598,859
771,555,517,408
670,563,445,758
958,602,570,467
501,814,646,626
627,477,778,699
784,458,641,745
501,656,434,359
257,524,455,514
1155,570,697,594
533,503,638,517
294,339,447,726
684,522,360,754
681,794,555,635
660,798,548,675
732,744,767,414
81,139,683,635
562,865,567,345
637,2,193,94
686,699,608,546
117,547,560,731
749,707,370,499
421,750,641,249
736,744,700,423
613,547,207,229
353,271,302,245
644,586,672,438
539,632,563,662
354,265,557,576
1012,469,529,305
716,578,610,668
586,643,347,415
690,252,569,406
398,462,517,102
492,405,600,430
609,605,543,655
828,719,542,734
667,557,544,474
339,931,504,619
557,188,492,782
850,938,343,572
491,779,399,268
392,883,167,275
552,522,548,211
42,294,628,358
522,198,539,550
672,328,674,456
593,300,706,482
829,1002,748,463
433,819,620,385
476,341,517,418
536,774,461,886
711,666,757,562
402,564,781,289
356,749,543,764
562,327,626,599
595,584,522,740
558,411,651,588
377,179,799,517
712,742,591,666
631,600,768,497
603,92,501,346
472,564,420,481
793,945,488,809
845,597,277,571
315,705,200,653
516,383,474,918
441,546,446,763
469,355,606,335
724,974,544,502
613,483,502,831
