Retail and E-commerce,Daily sales statistics by product category,thousand USD,normal,horizontal
Books,Art,Toys,Garden,Movies
323,194,303,354,295
303,226,283,293,365
261,211,340,219,321
91,292,328,277,254
272,356,348,332,317
248,358,268,318,289
156,364,326,353,324
273,232,286,366,231
189,353,336,321,285
193,287,330,340,302
137,276,323,265,291
248,250,321,415,209
249,189,315,323,273
120,249,228,293,305
210,336,271,421,324
199,368,290,334,251
289,231,371,342,338
261,224,306,232,328
208,187,323,351,324
245,285,254,188,299
310,270,266,349,313
163,257,315,325,211
257,317,268,381,287
158,277,309,385,321
205,316,310,156,243
238,290,267,365,345
227,292,323,402,293
109,333,325,239,257
253,305,315,360,362
155,262,307,341,338
320,265,272,341,297
200,261,257,297,277
202,152,259,362,316
238,317,316,282,374
248,241,279,413,342
158,323,302,415,342
296,296,317,334,264
239,242,308,424,355
163,269,264,417,353
82,256,319,349,407
171,264,357,217,357
150,334,290,400,333
167,279,293,396,322
254,233,223,356,316
195,304,341,258,231
224,236,234,236,269
273,261,235,373,279
242,337,258,406,372
184,232,311,408,272
173,308,292,289,351
272,307,286,268,298
161,288,300,262,314
325,238,293,415,390
185,209,331,352,295
165,260,367,252,341
133,218,291,219,215
245,246,359,370,344
190,222,281,301,298
297,273,252,371,344
261,148,266,322,347
225,132,301,331,344
181,269,237,343,422
332,249,181,337,356
170,338,279,234,201
257,243,286,274,377
81,233,280,334,226
205,137,323,280,278
284,258,316,394,340
307,164,274,320,333
294,116,255,389,291
332,264,262,316,328
226,309,345,333,184
164,257,286,406,372
150,320,264,356,323
302,331,245,323,328
156,327,360,361,311
272,219,298,405,259
280,341,340,310,371
117,272,302,336,372
307,158,255,397,335
248,350,269,348,289
133,228,293,286,308
229,218,285,267,335
280,287,304,303,346
234,267,311,308,299
320,95,297,266,316
229,284,344,331,365
242,167,373,225,326
141,227,258,279,272
219,298,341,317,296
240,321,338,212,346
222,131,259,319,381
157,247,306,308,283
268,179,271,402,250
307,238,361,303,330
214,281,218,307,309
270,275,336,334,244
281,336,351,298,356
245,260,342,367,343
288,100,267,351,266
127,239,330,355,328
237,312,293,334,342
335,191,317,280,303
339,228,311,278,242
268,136,283,312,289
192,191,302,375,297
183,265,268,271,262
255,181,356,329,330
211,359,236,403,239
251,305,267,217,251
211,218,338,335,324
332,283,229,369,276
310,294,321,345,248
248,265,316,405,339
278,277,294,359,278
178,299,244,401,302
199,345,342,362,303
139,380,210,334,333
